id,category,price,backers
0,film,10.0,14
0,film,25.0,27
0,film,75.0,9
0,film,150.0,12
0,film,250.0,2
0,film,500.0,1
1,film,5.0,0
1,film,10.0,4
1,film,20.0,3
1,film,30.0,1
1,film,50.0,1
1,film,100.0,4
1,film,200.0,2
1,film,500.0,0
1,film,600.0,0
2,film,59.0,165
2,film,15.0,36
2,film,25.0,211
2,film,39.0,154
2,film,50.0,85
2,film,50.0,6
2,film,99.0,9
2,film,110.0,36
2,film,120.0,6
2,film,145.0,11
2,film,200.0,12
2,film,350.0,5
3,film,50.0,15
3,film,10.0,17
3,film,20.0,30
3,film,30.0,22
3,film,80.0,1
3,film,80.0,5
3,film,100.0,14
3,film,150.0,2
3,film,250.0,2
3,film,500.0,1
4,film,5.0,23
4,film,15.0,69
4,film,50.0,19
4,film,80.0,5
4,film,120.0,7
4,film,200.0,4
5,film,42.0,96
5,film,52.0,53
5,film,60.0,26
5,film,90.0,5
5,film,130.0,39
5,film,150.0,5
5,film,500.0,0
5,film,42.0,100
6,film,5.0,18
6,film,15.0,60
6,film,30.0,36
6,film,50.0,35
6,film,100.0,7
6,film,150.0,5
6,film,150.0,1
6,film,200.0,2
6,film,300.0,1
6,film,500.0,0
6,film,1000.0,1
7,film,10.0,12
7,film,20.0,24
7,film,30.0,21
7,film,50.0,10
7,film,80.0,5
7,film,200.0,7
8,film,10.0,305
8,film,30.0,113
8,film,50.0,59
8,film,100.0,10
9,film,10.0,37
9,film,5.0,4
9,film,20.0,41
9,film,35.0,17
9,film,50.0,11
9,film,60.0,5
9,film,60.0,2
9,film,75.0,4
9,film,100.0,6
9,film,500.0,0
9,film,1200.0,0
9,film,1500.0,0
10,film,5.0,12
10,film,10.0,20
10,film,20.0,26
10,film,45.0,18
10,film,100.0,2
10,film,150.0,4
10,film,200.0,1
11,film,5.0,18
11,film,10.0,54
11,film,20.0,298
11,film,50.0,96
11,film,100.0,21
11,film,300.0,0
11,film,500.0,0
11,film,800.0,0
11,film,1000.0,2
12,film,65.0,41
12,film,30.0,179
12,film,35.0,37
12,film,40.0,37
12,film,55.0,65
12,film,100.0,51
12,film,1000.0,0
13,film,10.0,54
13,film,23.0,30
13,film,30.0,18
13,film,35.0,6
13,film,40.0,4
13,film,40.0,2
13,film,45.0,7
13,film,50.0,4
13,film,50.0,6
13,film,70.0,5
13,film,85.0,2
13,film,100.0,1
13,film,150.0,1
13,film,150.0,0
13,film,20.0,196
14,film,25.0,21
14,film,5.0,15
14,film,50.0,36
14,film,75.0,10
14,film,100.0,10
14,film,150.0,10
15,film,50.0,1
15,film,10.0,13
15,film,30.0,18
15,film,70.0,0
15,film,100.0,5
16,film,100.0,3
16,film,500.0,0
16,film,1000.0,0
17,film,50.0,263
17,film,5.0,73
17,film,10.0,132
17,film,20.0,407
17,film,30.0,436
17,film,100.0,51
17,film,150.0,78
17,film,500.0,15
