id,category,price,backers
46,,1.0,2
47,,5.0,0
47,,10.0,0
47,,20.0,1
47,,40.0,0
47,,50.0,0
47,,60.0,0
47,,100.0,0
47,,150.0,2
47,,200.0,0
48,,1.0,1
48,,5.0,0
48,,15.0,0
48,,28.0,5
48,,32.0,3
48,,38.0,0
48,,42.0,0
48,,46.0,2
48,,49.0,0
48,,55.0,0
48,,56.0,1
48,,64.0,1
48,,69.0,0
48,,69.0,0
48,,99.0,0
48,,400.0,0
48,,600.0,0
48,,1000.0,0
49,,85.0,0
49,,5.0,3
49,,25.0,4
49,,35.0,3
49,,60.0,0
49,,90.0,1
49,,120.0,0
49,,800.0,0
49,,1000.0,0
49,,1600.0,0
49,,3500.0,0
50,,1.0,1
50,,5.0,0
50,,20.0,0
50,,25.0,0
50,,30.0,0
50,,35.0,0
50,,40.0,0
50,,70.0,0
50,,100.0,1
51,,2.0,2
51,,11.0,4
51,,22.0,8
51,,33.0,1
51,,44.0,0
51,,66.0,1
51,,88.0,1
51,,666.0,1
52,,5.0,0
52,,20.0,0
52,,35.0,0
52,,50.0,0
52,,70.0,0
52,,100.0,0
53,,5.0,2
53,,15.0,6
53,,25.0,2
53,,55.0,0
53,,85.0,0
53,,105.0,0
53,,125.0,1
54,,1.0,1
54,,20.0,0
54,,50.0,1
54,,100.0,0
54,,250.0,0
55,,3.0,2
55,,10.0,0
55,,30.0,0
55,,50.0,0
55,,80.0,0
55,,100.0,1
55,,250.0,0
55,,500.0,0
55,,800.0,0
55,,1000.0,0
55,,5000.0,0
55,,10000.0,0
56,,5.0,0
56,,10.0,0
56,,15.0,0
56,,30.0,1
56,,45.0,0
56,,65.0,0
56,,80.0,0
56,,100.0,1
56,,165.0,0
56,,500.0,0
56,,1000.0,0
57,,5.0,5
57,,15.0,5
57,,30.0,6
57,,50.0,1
57,,100.0,2
57,,200.0,1
57,,300.0,0
58,,5.0,0
58,,10.0,0
58,,25.0,3
58,,50.0,2
58,,75.0,1
58,,100.0,0
58,,200.0,0
58,,500.0,0
58,,1000.0,0
59,,5.0,0
59,,20.0,0
59,,40.0,0
59,,100.0,0
59,,400.0,0
60,,5.0,0
60,,15.0,0
60,,30.0,1
60,,50.0,0
60,,100.0,2
60,,300.0,1
60,,500.0,0
60,,500.0,0
60,,750.0,0
60,,1000.0,0
60,,1500.0,0
61,,10.0,2
61,,20.0,0
61,,35.0,0
61,,50.0,0
61,,75.0,1
62,,10.0,0
62,,25.0,0
62,,50.0,0
62,,100.0,0
62,,200.0,0
62,,500.0,0
62,,1000.0,0
63,,1.0,0
63,,24.0,0
63,,25.0,2
63,,36.0,0
63,,49.0,0
63,,50.0,2
63,,72.0,1
63,,100.0,0
63,,150.0,0
63,,200.0,0
63,,225.0,0
63,,250.0,0
63,,499.0,0
63,,500.0,0
63,,999.0,0
63,,1000.0,0
64,,10.0,1
64,,20.0,1
64,,30.0,2
64,,50.0,1
64,,100.0,0
65,,5.0,2
65,,10.0,2
65,,15.0,0
65,,20.0,2
65,,25.0,0
65,,30.0,0
65,,35.0,0
65,,35.0,0
65,,40.0,0
65,,45.0,0
65,,50.0,1
65,,60.0,1
65,,70.0,0
65,,80.0,0
65,,90.0,0
65,,100.0,0
65,,120.0,0
65,,130.0,0
65,,150.0,0
65,,170.0,0
65,,200.0,0
65,,500.0,0
65,,1250.0,0
65,,2500.0,0
65,,5000.0,0
65,,5000.0,0
65,,12000.0,0
65,,25000.0,0
