id,category,price,backers
0,sport,49.0,118
0,sport,10.0,48
0,sport,15.0,11
0,sport,25.0,70
0,sport,50.0,12
0,sport,55.0,34
1,sport,100.0,4
1,sport,5.0,1
1,sport,15.0,5
1,sport,50.0,0
1,sport,130.0,0
1,sport,200.0,0
1,sport,300.0,1
1,sport,500.0,0
2,sport,10.0,39
2,sport,35.0,7
2,sport,35.0,4
2,sport,80.0,12
2,sport,120.0,1
2,sport,500.0,3
3,sport,20.0,195
3,sport,25.0,42
3,sport,40.0,6
3,sport,60.0,2
3,sport,100.0,8
4,sport,20.0,12
4,sport,10.0,12
4,sport,30.0,2
4,sport,50.0,13
4,sport,100.0,6
4,sport,150.0,0
4,sport,200.0,0
4,sport,300.0,0
4,sport,400.0,0
4,sport,500.0,1
4,sport,1000.0,0
5,sport,170.0,16
5,sport,15.0,20
5,sport,30.0,17
5,sport,50.0,1
5,sport,50.0,24
5,sport,100.0,0
5,sport,100.0,9
5,sport,150.0,0
5,sport,550.0,4
6,sport,10.0,11
6,sport,25.0,37
6,sport,120.0,22
6,sport,500.0,3
6,sport,1000.0,1
7,sport,5.0,7
7,sport,15.0,25
7,sport,30.0,5
7,sport,40.0,0
7,sport,45.0,13
7,sport,50.0,1
7,sport,55.0,8
7,sport,70.0,0
7,sport,80.0,0
7,sport,350.0,0
7,sport,500.0,0
8,sport,35.0,47
8,sport,25.0,50
8,sport,50.0,8
8,sport,70.0,2
8,sport,75.0,3
8,sport,100.0,3
8,sport,155.0,2
8,sport,375.0,1
8,sport,870.0,0
8,sport,1500.0,0
9,sport,10.0,75
9,sport,40.0,35
9,sport,100.0,51
9,sport,200.0,4
9,sport,500.0,0
9,sport,600.0,0
9,sport,950.0,3
9,sport,1500.0,1
9,sport,3000.0,0
10,sport,70.0,72
10,sport,15.0,27
10,sport,25.0,59
10,sport,500.0,6
10,sport,1000.0,1
11,sport,15.0,10
11,sport,50.0,6
11,sport,65.0,18
11,sport,120.0,21
11,sport,250.0,2
12,sport,25.0,1
12,sport,1.0,8
12,sport,10.0,9
12,sport,15.0,4
12,sport,30.0,7
12,sport,50.0,6
12,sport,100.0,8
12,sport,200.0,2
12,sport,500.0,0
12,sport,1000.0,0
12,sport,2000.0,0
13,sport,60.0,133
13,sport,5.0,2
13,sport,10.0,0
13,sport,10.0,0
13,sport,10.0,0
13,sport,15.0,1
13,sport,30.0,0
13,sport,37.0,0
13,sport,40.0,1
13,sport,50.0,0
13,sport,54.0,0
13,sport,58.0,0
13,sport,80.0,0
13,sport,98.0,0
13,sport,100.0,0
13,sport,106.0,0
13,sport,130.0,0
14,sport,30.0,24
14,sport,45.0,11
14,sport,50.0,4
14,sport,60.0,1
14,sport,65.0,9
14,sport,120.0,3
14,sport,140.0,3
14,sport,165.0,1
14,sport,195.0,1
14,sport,1500.0,1
15,sport,10.0,3
15,sport,20.0,5
15,sport,50.0,54
15,sport,75.0,5
15,sport,100.0,8
16,sport,65.0,25
16,sport,15.0,4
16,sport,17.0,9
16,sport,20.0,1
16,sport,60.0,11
16,sport,75.0,3
16,sport,110.0,3
17,sport,79.0,135
17,sport,10.0,9
17,sport,249.0,11
17,sport,499.0,2
17,sport,599.0,3
18,sport,49.0,118
18,sport,10.0,48
18,sport,15.0,11
18,sport,25.0,70
18,sport,50.0,12
18,sport,55.0,34
19,sport,100.0,4
19,sport,5.0,1
19,sport,15.0,5
19,sport,50.0,0
19,sport,130.0,0
19,sport,200.0,0
19,sport,300.0,1
19,sport,500.0,0
20,sport,10.0,39
20,sport,35.0,7
20,sport,35.0,4
20,sport,80.0,12
20,sport,120.0,1
20,sport,500.0,3
21,sport,20.0,195
21,sport,25.0,42
21,sport,40.0,6
21,sport,60.0,2
21,sport,100.0,8
22,sport,20.0,12
22,sport,10.0,12
22,sport,30.0,2
22,sport,50.0,13
22,sport,100.0,6
22,sport,150.0,0
22,sport,200.0,0
22,sport,300.0,0
22,sport,400.0,0
22,sport,500.0,1
22,sport,1000.0,0
23,sport,170.0,16
23,sport,15.0,20
23,sport,30.0,17
23,sport,50.0,1
23,sport,50.0,24
23,sport,100.0,0
23,sport,100.0,9
23,sport,150.0,0
23,sport,550.0,4
24,sport,10.0,11
24,sport,25.0,37
24,sport,120.0,22
24,sport,500.0,3
24,sport,1000.0,1
25,sport,5.0,7
25,sport,15.0,25
25,sport,30.0,5
25,sport,40.0,0
25,sport,45.0,13
25,sport,50.0,1
25,sport,55.0,8
25,sport,70.0,0
25,sport,80.0,0
25,sport,350.0,0
25,sport,500.0,0
26,sport,35.0,47
26,sport,25.0,50
26,sport,50.0,8
26,sport,70.0,2
26,sport,75.0,3
26,sport,100.0,3
26,sport,155.0,2
26,sport,375.0,1
26,sport,870.0,0
26,sport,1500.0,0
27,sport,200.0,6
27,sport,10.0,5
27,sport,20.0,12
27,sport,30.0,29
27,sport,40.0,8
27,sport,50.0,15
27,sport,60.0,2
27,sport,80.0,10
27,sport,400.0,4
27,sport,600.0,2
28,sport,99.0,11
28,sport,49.0,10
28,sport,119.0,2
28,sport,159.0,1
28,sport,169.0,7
28,sport,219.0,1
28,sport,349.0,0
28,sport,400.0,1
