id,category,price,backers
0,theatre,5.0,0
0,theatre,10.0,4
0,theatre,20.0,3
0,theatre,30.0,1
0,theatre,50.0,1
0,theatre,100.0,4
0,theatre,200.0,2
0,theatre,500.0,0
0,theatre,600.0,0
1,theatre,20.0,1
1,theatre,50.0,6
1,theatre,100.0,8
1,theatre,150.0,5
1,theatre,200.0,4
1,theatre,300.0,5
1,theatre,500.0,4
2,theatre,5.0,6
2,theatre,10.0,12
2,theatre,25.0,14
2,theatre,50.0,5
2,theatre,75.0,3
2,theatre,100.0,5
2,theatre,1000.0,0
3,theatre,25.0,5
3,theatre,50.0,13
3,theatre,100.0,15
3,theatre,125.0,2
3,theatre,250.0,4
3,theatre,500.0,2
3,theatre,1000.0,0
4,theatre,10.0,23
4,theatre,30.0,15
4,theatre,50.0,16
4,theatre,100.0,5
4,theatre,200.0,0
4,theatre,900.0,1
4,theatre,1500.0,0
5,theatre,10.0,3
5,theatre,30.0,8
5,theatre,50.0,2
6,theatre,20.0,10
6,theatre,30.0,5
6,theatre,50.0,6
6,theatre,150.0,0
6,theatre,500.0,0
7,theatre,5.0,10
7,theatre,22.0,20
7,theatre,25.0,33
7,theatre,46.0,3
7,theatre,58.0,7
7,theatre,100.0,5
7,theatre,300.0,1
8,theatre,10.0,3
8,theatre,20.0,6
8,theatre,50.0,23
8,theatre,100.0,12
8,theatre,200.0,6
8,theatre,500.0,3
8,theatre,1000.0,3
9,theatre,15.0,23
9,theatre,30.0,37
9,theatre,50.0,13
9,theatre,75.0,1
9,theatre,100.0,9
10,theatre,10.0,4
10,theatre,20.0,13
10,theatre,30.0,4
10,theatre,50.0,3
10,theatre,75.0,0
10,theatre,100.0,9
11,theatre,5.0,2
11,theatre,10.0,2
11,theatre,20.0,10
11,theatre,30.0,24
11,theatre,50.0,11
11,theatre,80.0,3
11,theatre,80.0,3
11,theatre,150.0,2
11,theatre,150.0,0
11,theatre,500.0,0
11,theatre,800.0,0
12,theatre,10.0,8
12,theatre,20.0,35
12,theatre,40.0,13
12,theatre,60.0,2
12,theatre,100.0,5
12,theatre,200.0,2
12,theatre,400.0,2
13,theatre,10.0,4
13,theatre,20.0,4
13,theatre,50.0,5
13,theatre,100.0,3
13,theatre,250.0,5
13,theatre,1000.0,1
14,theatre,5.0,5
14,theatre,10.0,18
14,theatre,25.0,11
14,theatre,50.0,12
14,theatre,70.0,10
14,theatre,100.0,2
14,theatre,250.0,0
14,theatre,500.0,2
15,theatre,5.0,5
15,theatre,10.0,94
15,theatre,30.0,80
15,theatre,60.0,0
15,theatre,60.0,13
15,theatre,60.0,4
15,theatre,150.0,16
16,theatre,10.0,3
16,theatre,20.0,14
16,theatre,50.0,31
16,theatre,100.0,27
16,theatre,200.0,8
16,theatre,500.0,0
16,theatre,1000.0,0
16,theatre,2000.0,0
17,theatre,70.0,12
17,theatre,10.0,42
17,theatre,30.0,36
17,theatre,35.0,12
17,theatre,40.0,13
17,theatre,70.0,1
17,theatre,70.0,2
17,theatre,100.0,1
17,theatre,108.0,8
17,theatre,300.0,6
17,theatre,590.0,0
17,theatre,700.0,0
17,theatre,1650.0,0
18,theatre,10.0,13
18,theatre,30.0,19
18,theatre,50.0,28
18,theatre,75.0,1
18,theatre,100.0,8
18,theatre,150.0,6
18,theatre,250.0,2
18,theatre,500.0,0
18,theatre,1000.0,0
18,theatre,2000.0,0
18,theatre,3000.0,0
19,theatre,10.0,44
19,theatre,25.0,70
19,theatre,50.0,50
19,theatre,100.0,48
19,theatre,250.0,9
19,theatre,500.0,0
19,theatre,1000.0,1
20,theatre,10.0,6
20,theatre,20.0,6
20,theatre,30.0,6
20,theatre,50.0,6
20,theatre,75.0,4
20,theatre,100.0,4
20,theatre,150.0,3
20,theatre,250.0,1
20,theatre,500.0,1
20,theatre,1000.0,1
20,theatre,10000.0,0
21,theatre,5.0,9
21,theatre,13.0,155
21,theatre,25.0,37
21,theatre,45.0,16
21,theatre,65.0,9
21,theatre,100.0,7
21,theatre,150.0,4
22,theatre,55.0,36
22,theatre,10.0,35
22,theatre,35.0,38
22,theatre,110.0,32
22,theatre,1250.0,1
22,theatre,3000.0,1
23,theatre,10.0,12
23,theatre,50.0,20
23,theatre,200.0,1
23,theatre,400.0,2
23,theatre,1000.0,0
24,theatre,10.0,22
24,theatre,30.0,14
24,theatre,50.0,13
24,theatre,100.0,12
24,theatre,200.0,3
