id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
47,successful,111 %,"€16,720","Out of €15,000",3/13/2020,101,sport,png,8,5.0,1500.0,0,13,108,1
48,successful,115 %,"€22,920","Out of €20,000",3/9/2020,143,sport,jpg,14,10.0,10000.0,6,16,161,1
49,successful,106 %,"€5,283","Out of €5,000",3/7/2020,99,sport,jpg,8,5.0,500.0,7,22,104,1
50,successful,100 %,"€6,006","Out of €6,000",3/5/2020,44,sport,jpg,4,10.0,100.0,1,3,46,1
51,successful,170 %,"€3,395","Out of €2,000",2/28/2020,17,sport,jpg,1,20.0,20.0,0,7,17,1
52,successful,192 %,"€19,222","Out of €10,000",2/27/2020,216,sport,jpg,14,15.0,2000.0,2,28,241,1
53,successful,101 %,"€15,122","Out of €15,000",2/18/2020,74,sport,jpg,9,10.0,250.0,0,8,81,1
54,successful,117 %,"€17,555","Out of €15,000",12/6/2020,301,sport,png,6,10.0,55.0,3,51,326,1
55,successful,102 %,"€8,173","Out of €8,000",11/29/2020,36,sport,jpeg,8,5.0,500.0,1,13,47,1
56,successful,107 %,"€8,040","Out of €7,500",11/22/2020,128,sport,jpeg,6,10.0,500.0,5,18,133,1
57,successful,185 %,314 pre-orders,Out of 170,11/21/2020,252,sport,jpg,5,20.0,100.0,2,32,262,3
58,successful,117 %,"€3,510","Out of €3,000",11/19/2020,44,sport,png,11,10.0,1000.0,2,8,47,1
59,successful,337 %,"€11,810","Out of €3,500",11/12/2020,122,sport,jpg,9,15.0,550.0,2,47,128,1
60,successful,132 %,"€10,560","Out of €8,000",11/12/2020,109,sport,jpg,5,10.0,1000.0,2,30,115,1
61,successful,124 %,"€8,070","Out of €6,500",11/8/2020,74,sport,png,11,5.0,500.0,1,11,74,1
62,successful,182 %,182 pre-orders,Out of 100,10/15/2020,116,sport,jpg,10,25.0,1500.0,10,11,117,13
63,successful,100 %,"€10,005","Out of €10,000",12/31/2019,77,sport,jpeg,7,5.0,500.0,13,20,87,1
64,successful,105 %,"€6,317","Out of €6,000",12/27/2019,53,sport,jpg,8,10.0,1000.0,4,23,56,1
65,successful,135 %,"€20,250","Out of €15,000",12/23/2019,116,sport,jpg,18,10.0,8500.0,10,16,122,1
66,successful,273 %,"€4,100","Out of €1,500",12/23/2019,71,sport,jpg,3,1.0,100.0,0,13,76,2
67,successful,106 %,"€10,635","Out of €10,000",12/17/2019,38,sport,png,6,25.0,160.0,0,2,47,1
68,successful,128 %,"€3,829","Out of €3,000",12/12/2019,108,sport,png,3,10.0,60.0,0,14,111,1
69,successful,123 %,"€6,160","Out of €5,000",12/6/2019,32,sport,png,7,10.0,1000.0,0,7,32,1
70,successful,111 %,"€3,333","Out of €3,000",12/3/2019,84,sport,png,5,10.0,100.0,1,18,85,1
71,successful,102 %,"€5,108","Out of €5,000",11/27/2019,81,sport,jpg,7,5.0,500.0,0,13,84,1
72,successful,107 %,"€5,367","Out of €5,000",11/22/2019,103,sport,gif,7,5.0,125.0,0,9,109,1
73,successful,100 %,"€4,017","Out of €4,000",11/21/2019,36,sport,png,8,5.0,1000.0,1,15,39,1
74,successful,172 %,258 pre-orders,Out of 150,11/17/2019,207,sport,jpg,9,24.0,104.0,2,29,213,1
75,successful,132 %,"€3,300","Out of €2,500",11/17/2019,29,sport,JPG,9,5.0,500.0,10,22,33,1
76,successful,103 %,"€3,842","Out of €3,736",11/16/2019,22,sport,jpg,6,5.0,500.0,0,2,24,1
77,successful,119 %,"€4,740","Out of €4,000",11/15/2019,70,sport,jpg,8,10.0,1500.0,0,14,71,1
78,successful,107 %,"€5,330","Out of €5,000",11/5/2019,118,sport,jpg,6,25.0,300.0,0,19,122,1
