,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/ep-exode-de-lamine-bamba,"EP ""Exode"" de Lamine Bamba",Successful,104,"€3,120","Out of €3,000",04/30/2019,76,,JPG,6,5.0,60.0,33,18,77,https://www.kisskissbankbank.com/en/users/lamine-bamba,ca,Aidez moi à enregistrer mon EP!  Merci.
1,https://www.kisskissbankbank.com/en/projects/pantin-premier-ep,PANTIN - Premier EP,Successful,104,"€3,340","Out of €3,200",04/30/2019,73,,jpg,11,5.0,500.0,2,26,76,https://www.kisskissbankbank.com/en/users/remoche,fr,"Il est l'heure pour ""PANTIN"" d'enregistrer un premier EP : J'ai besoin de vous pour bien ficeler tout ça !
Place à l'objectif 150 % !!"
2,https://www.kisskissbankbank.com/en/projects/enregistrement-cd-mantra-vol-3,Enregistrement CD Mantra Vol.3,Successful,102,"€5,589","Out of €5,500",04/30/2019,75,,jpg,7,12.0,75.0,0,20,82,https://www.kisskissbankbank.com/en/users/claude-brame,ca,Enregistrement Mantra 3...Claude Brame
3,https://www.kisskissbankbank.com/en/projects/bonjour-bonheur-boutique-atelier,Bonjour Bonheur - boutique atelier,Successful,196,"€4,904","Out of €2,500",04/30/2019,123,,jpg,9,5.0,500.0,3,49,125,https://www.kisskissbankbank.com/en/users/lea-beauge--2,fr,"Bonjour Bonheur,
le retour du commerce de proximité.
La boutique atelier de créateur à Chartres"
4,https://www.kisskissbankbank.com/en/projects/compagnie-ensemble-ailleurs-en-mouvement-berlin-2019-2,"Compagnie Ensemble, Ailleurs, en Mouvement Berlin 2019",Successful,101,"€8,910","Out of €8,800",04/30/2019,67,,jpg,4,10.0,300.0,0,43,84,https://www.kisskissbankbank.com/en/users/pascale-bal,fr,"Aider Ensemble Ailleurs en Mouvement une compagnie atypique s'envoler fin  mai 2019 à BERLIN
porteur   TRIPLETTE POUR PIROUETTE "
5,https://www.kisskissbankbank.com/en/projects/les-pailles-la-perche,Les pailles La Perche,Successful,139,"€16,710","Out of €12,000",04/29/2019,249,,jpg,10,10.0,2000.0,4,55,253,https://www.kisskissbankbank.com/en/users/jeff-lubrano,fr,"STOP aux pailles en plastique !
Aidez-nous à lancer la première marque de pailles bio et 100% naturelles Made in Normandie !"
6,https://www.kisskissbankbank.com/en/projects/spider-man-new-generation-le-film-l-artbook-officiel,Spider-Man New Generation : le film + l'artbook officiel,Successful,374,"€22,436","Out of €6,000",04/29/2019,348,,jpg,23,17.0,1000.0,6,31,351,https://www.kisskissbankbank.com/en/users/superprojets,fr,"Précommandez le génial Spider-Man New Generation, primé aux Oscars, avec l'artbook officiel du film et des extras exclusifs"
7,https://www.kisskissbankbank.com/en/projects/besoin-d-un-coup-de-pouce-pour-aquerir-notre-maison,Besoin d'un coup de pouce pour aquérir notre maison,Successful,100,"€3,500","Out of €3,500",04/29/2019,35,,jpg,14,1.0,200.0,0,16,43,https://www.kisskissbankbank.com/en/users/virginie-bernard,fr,Besoin d'un coup de pouce
8,https://www.kisskissbankbank.com/en/projects/morgan-marlet-premier-album-solo,Morgan Marlet 1er album SOLO !,Successful,124,"€6,221","Out of €5,000",04/29/2019,141,,jpg,10,10.0,1000.0,9,54,147,https://www.kisskissbankbank.com/en/users/morgan-marlet,fr,"Chers amis actuels et futurs, premier objectif atteint : Un immense MERCI à tous ! Suivez le projet sur https://www.facebook.com/morganmsolo"
9,https://www.kisskissbankbank.com/en/projects/winael-premier-ep,Winael : Premier EP,Successful,112,"€5,315","Out of €4,740",04/29/2019,79,,jpg,8,10.0,350.0,1,13,86,https://www.kisskissbankbank.com/en/users/winael-baldus,fr,"Soutenez ma folle aventure sur KissKissBankBank, je compte sur vous pour la réalisation de ce projet 3 titres ! "
10,https://www.kisskissbankbank.com/en/projects/l-ivoire-rouge--2,L'Ivoire Rouge,Successful,101,"€4,550","Out of €4,500",04/29/2019,77,,jpg,8,5.0,500.0,14,37,83,https://www.kisskissbankbank.com/en/users/ancolies,fr,"Participez à la création d'un projet musical unique, dédié à la vie, à son sens et à la beauté."
11,https://www.kisskissbankbank.com/en/projects/gusta-co-boutique-vintage-createurs-a-la-roque-d-antheron,Gusta&Co - Boutique Vintage & Créateurs à La Roque d'Anthéron,Successful,108,"€3,775","Out of €3,500",04/29/2019,80,,png,10,5.0,700.0,2,20,81,https://www.kisskissbankbank.com/en/users/gusta,fr,Aidez-moi à créer un lieu de vie et de mise en avant de mon travail et de l'artisanat local !
12,https://www.kisskissbankbank.com/en/projects/border-angels-les-anges-des-frontieres,Documentaire sur les Borders angels,Successful,104,"€10,355","Out of €10,000",04/28/2019,108,,png,4,5.0,100.0,3,16,112,https://www.kisskissbankbank.com/en/users/guy-beauche,en,"For a world without hate, help the Border Angels"
13,https://www.kisskissbankbank.com/en/projects/sejour-d-integration-pour-tous-les-futurs-5emes-du-college-de-l-esplanade,Séjour d'intégration pour tous les futurs 5èmes du collège de l'esplanade,Successful,136,"€3,545","Out of €2,600",04/28/2019,56,,PNG,4,10.0,150.0,1,14,57,https://www.kisskissbankbank.com/en/users/esplajura,fr,"Merci à tous. L'objectif est atteint et l'organisation du voyage ne fait désormais plus aucun doute !
Mais la campagne se poursuit..."
14,https://www.kisskissbankbank.com/en/projects/le-grenier-ludique,Le Grenier Ludique,Successful,107,"€3,750","Out of €3,500",04/28/2019,96,,png,9,5.0,500.0,6,27,98,https://www.kisskissbankbank.com/en/users/legrenierludique,fr,"Aidez-nous à créer Le Grenier Ludique, l’application qui donne une seconde vie aux jeux de société ! (À venir sur iOs & Android)"
