,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/gllu-objets,Des objets en bois fabriqués avec passion en Normandie,Successful,212,"€16,946","Out of €8,000",08/10/2020,221,"Local Development,French manufacturing",gif,9,10.0,280.0,4,27,227,https://www.kisskissbankbank.com/en/users/baptiste-trouve,fr,"Pré-commandez nos nouveautés et entourez-vous de beaux objets : 
singuliers, français, faits-main !"
1,https://www.kisskissbankbank.com/en/projects/un-four-pour-olga-ceramique,Un four pour Olga Céramique,Successful,102,"€4,605","Out of €4,500",08/10/2020,121,"Local Development,Indie,French manufacturing",jpg,10,5.0,500.0,9,16,125,https://www.kisskissbankbank.com/en/users/violette-billaud-e38caef3-f2f4-4f76-b9ef-4b2e12f9e28c,fr,Bonjour ! Je fais appel à vous tous aujourd'hui pour m'aider à financer mon four à céramique !
2,https://www.kisskissbankbank.com/en/projects/une-cabane-pour-le-jardin-des-sens,Une Cabane au Jardin des Sens !,Successful,286,"€14,300","Out of €5,000",08/10/2020,221,"Biodiversity,Locavore,Change your life",png,8,15.0,1000.0,0,52,227,https://www.kisskissbankbank.com/en/users/margdecray,fr,Aidez-moi à installer un lieu de stockage et de transformation au champ !
3,https://www.kisskissbankbank.com/en/projects/le-parfum-solide-nolenca,"Le parfum solide, naturel et sans alcool Nolença",Successful,182,364 pre-orders,Out of 200,08/10/2020,222,"Zero waste,French manufacturing",PNG,14,10.0,125.0,8,40,234,https://www.kisskissbankbank.com/en/users/laurie-melotte,en,Solid perfume revolution : Join the movement by helping us and be the first to get your solid perfume !
4,https://www.kisskissbankbank.com/en/projects/devenezchef,Devenez Chef - en famille & entre amis,Successful,119,"€8,331","Out of €7,000",08/10/2020,111,French manufacturing,png,14,5.0,2000.0,1,29,114,https://www.kisskissbankbank.com/en/users/elise-jean-marie,fr,Participez à la production du 1er jeu de société culinaire en France et entrez dans l'aventure Devenez Chef !
5,https://www.kisskissbankbank.com/en/projects/canosphere-base-nautique-ecoresponsable-dans-la-vallee-de-la-dordogne,Canosphère : base nautique écoresponsable dans la vallée de la Dordogne,Successful,110,"€10,982","Out of €10,000",08/09/2020,111,"Biodiversity,Local Development",PNG,6,20.0,2000.0,13,33,112,https://www.kisskissbankbank.com/en/users/fabrice-placet,fr,CanoSphère : chaque coup de pagaie compte pour soutenir le développement des projets de la base nautique !
6,https://www.kisskissbankbank.com/en/projects/monpetitpaquet,Mon Petit Paquet,Successful,130,130 pre-orders,Out of 100,08/09/2020,79,"Zero waste,Local Development,French manufacturing",jpg,13,10.0,200.0,0,16,83,https://www.kisskissbankbank.com/en/users/emilie-heckel-f67f3375-b3f7-4e8a-80d3-f2625bb4a4e6,en,The ethical cloth diaper made in France !
7,https://www.kisskissbankbank.com/en/projects/viceacademy,Vice Academy + C'est presque pareil !,Successful,126,253 pre-orders,Out of 200,08/08/2020,240,,jpg,12,5.0,200.0,2,30,251,https://www.kisskissbankbank.com/en/users/guildz,en,"Preorder your triple-disc blu-ray edition of Vice Academy 1, 2 & 3: special price, exclusive slipcover & trading cards, worldwide shipping."
8,https://www.kisskissbankbank.com/en/projects/maison-peaux-neuves,Maison Peaux Neuves : Maroquinerie en cuir de raisin fabriquée en France!,Successful,312,156 pre-orders,Out of 50,08/08/2020,68,French manufacturing,gif,12,10.0,360.0,5,19,71,https://www.kisskissbankbank.com/en/users/claire-barthelmebs,fr,"Soutenez-nous et faisons Peau(x) Neuve(s) tous ensemble. 

Maroquinerie engagée dans le changement. "
9,https://www.kisskissbankbank.com/en/projects/clip-pour-mon-morceau-j-aime-pas,"Clip pour mon morceau ""J'aime pas""",Successful,102,"€6,100","Out of €6,000",08/08/2020,21,Indie,jpg,5,20.0,200.0,0,10,32,https://www.kisskissbankbank.com/en/users/alexandre-larcanche,fr,Participe à mon troisième clip !!
