,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/charles-bronson,Charles Bronson se déchaîne sur Kisskissbankbank !,Successful,130,"€7,772","Out of €6,000",09/28/2019,87,,jpg,11,20.0,400.0,2,18,91,https://www.kisskissbankbank.com/en/users/sidonis-calysta,fr,"Embarquez dans la légende Charles Bronson avec cinq films culte en édition collector en précommande, avec un DVD offert !"
1,https://www.kisskissbankbank.com/en/projects/la-matrice-salle-d-arcade-vr,La Matrice salle d'arcade VR,Successful,120,"€8,370","Out of €7,000",09/28/2019,24,,jpg,11,5.0,2000.0,0,4,25,https://www.kisskissbankbank.com/en/users/adrien-lemesle,fr,"Soutenez la création du premier lieu de réalité virtuel a Salon de Provence .
"
2,https://www.kisskissbankbank.com/en/projects/occitanie-la-bataille-oubliee,Occitanie : la bataille oubliée,Successful,234,"€14,069","Out of €6,000",09/28/2019,134,,jpg,7,10.0,500.0,7,13,138,https://www.kisskissbankbank.com/en/users/saga-films,fr,"1219. Près de Baziège, des cavaliers se rangent en ordre de bataille, prêts à l'affrontement."
3,https://www.kisskissbankbank.com/en/projects/les-escalettes-de-montpellier,Les Escalettes de Montpellier,Successful,102,"€7,330","Out of €7,164",09/28/2019,47,,png,8,5.0,500.0,7,14,52,https://www.kisskissbankbank.com/en/users/perrine-adrien,en,Support us to allow us to make delicious waffles from a Languedoc recipe for over 700 years ...!
4,https://www.kisskissbankbank.com/en/projects/shambaya-2,Shambaya,Successful,106,"€3,190","Out of €3,000",09/25/2019,34,,png,5,10.0,250.0,0,5,38,https://www.kisskissbankbank.com/en/users/patricia-bidin,fr,Vous aussi vous ressentez le besoin de faire une pause de temps en temps? Participez à la création d'un espace de ressourcement à La Ciotat!
5,https://www.kisskissbankbank.com/en/projects/https-www-kisskissbankbank-com-fr-projects-lekoridore,Création du Concept Store / Afro Lounge Le Kori Doré,Successful,198,"€19,779","Out of €10,000",09/25/2019,303,,jpg,8,20.0,1000.0,0,61,311,https://www.kisskissbankbank.com/en/users/nafissatou-ndiaye,fr,Soutenez la création du premier Salon de thé / Afro Lounge d’île de France
6,https://www.kisskissbankbank.com/en/projects/les-cagettes-cave-a-manger-pepites-de-terroir,"""LES CAGETTES"" - Cave à manger & pépites de terroir",Successful,145,"€5,065","Out of €3,500",09/24/2019,112,,png,6,5.0,150.0,1,12,112,https://www.kisskissbankbank.com/en/users/les-cagettes,fr,"Aujourd’hui nous faisons appel à vous pour soutenir ""Les Cagettes"". Un lieu convivial dans lequel vous découvrirez nos meilleures pépites !"
7,https://www.kisskissbankbank.com/en/projects/il-etait-une-fois-soniaimbert,"Webzine ""IL ETAIT UNE FOIS""",Successful,101,"€6,035","Out of €6,000",09/22/2019,56,,jpg,6,10.0,300.0,0,8,57,https://www.kisskissbankbank.com/en/users/soniaimbert,fr,"Soutenez votre nouveau webzine ""IL ETAIT UNE FOIS""... le média qui vous raconte de belles histoires..."
8,https://www.kisskissbankbank.com/en/projects/fais-de-la-place-3,FAIS DE LA PLACE,Successful,102,"€3,059","Out of €3,000",09/22/2019,56,,jpg,7,5.0,500.0,3,1,62,https://www.kisskissbankbank.com/en/users/escot-thomas,fr,Vous souhaitez vendre vos objets inutilisés ? on s'occupe de le faire à votre place !
9,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,Transat Jacques Vabre 2021 - Why it wouldn't be us? ?,Successful,110,"€10,999","Out of €10,000",01/13/2021,106,,jpg,6,10.0,1000.0,4,18,109,https://www.kisskissbankbank.com/en/users/engue-vic-sailing,en,"A DREAM, TWO FRIENDS ... AND YOU - Challenge the ocean at our side by helping us reach the starting line!"
