,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,Transat Jacques Vabre 2021 - Why it wouldn't be us? ?,Successful,110,"€10,999","Out of €10,000",01/13/2021,106,,jpg,6,10.0,1000.0,4,18,109,https://www.kisskissbankbank.com/en/users/engue-vic-sailing,en,"A DREAM, TWO FRIENDS ... AND YOU - Challenge the ocean at our side by helping us reach the starting line!"
1,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,"Pisciculture Normand' Truites : produits locaux, de qualité, en circuit court",Successful,114,"€4,540","Out of €4,000",01/13/2021,83,Local Development,jpeg,4,6.0,50.0,0,11,87,https://www.kisskissbankbank.com/en/users/adelie-martin-wagner,fr,"Des  truites  normand ... normandes ... Normandie !
Un circuit court à renforcer !
Des produits transformés de façon artisanale !"
2,https://www.kisskissbankbank.com/en/projects/levolcan,Le Volcan needs you !,Successful,180,"€14,400","Out of €8,000",01/13/2021,312,"Local Development,Indie",png,18,3.0,1000.0,6,41,372,https://www.kisskissbankbank.com/en/users/steven-monteau-4313f0b8-843f-4aed-a539-4bbca784d2cb,fi,Soutenez le projet sur KissKissBankBank !
3,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,"Cassava, table & boulangerie artisanale engagée",Successful,106,"€4,225","Out of €4,000",01/12/2021,42,"Organic,Locavore,Local Development",png,8,10.0,400.0,1,16,46,https://www.kisskissbankbank.com/en/users/valerie-lucas-399ca103-b417-455e-aa2f-a510af01e378,fr,Participez à la naissance de Cassava à la Réunion! Le mariage d'une boulangerie artisanale au levain et d'une table éco-responsable
4,https://www.kisskissbankbank.com/en/projects/ibiza-horse-valley,IBIZA HORSE VALLEY,Successful,104,"€20,880","Out of €20,000",01/12/2021,175,Animal Welfare,png,4,10.0,500.0,6,71,190,https://www.kisskissbankbank.com/en/users/jean-patrick-capdevielle,fr,"Sauvons ensemble ""Ibiza Horse Valley"", le sanctuaire des chevaux libres"
5,https://www.kisskissbankbank.com/en/projects/ob2,ENREGISTREMENT DE L'ALBUM OB2 GREGORY OTT ET VINCENT BIDAL,Successful,108,"€10,750","Out of €10,000",01/12/2021,211,Indie,jpg,7,10.0,500.0,0,53,222,https://www.kisskissbankbank.com/en/users/vincent-bidal,hr,Soutenez le projet sur KissKissBankBank !
6,https://www.kisskissbankbank.com/en/projects/playschool-l-album-la-garderie,Playschool l'album : LA GARDERIE,Successful,120,"€3,595","Out of €3,000",01/12/2021,95,Indie,jpg,7,10.0,1000.0,4,22,98,https://www.kisskissbankbank.com/en/users/emmanuel-olsson,fr,"Collectif d’artistes, Playschool a besoin de vous pour financer la sortie de l'album ""La garderie"" et produire un beau clip."
7,https://www.kisskissbankbank.com/en/projects/sick16,S!CK soutient l'indépendance avec le double-numéro Gremlins,Successful,876,876 pre-orders,Out of 100,01/12/2021,312,"French manufacturing,Independent media",gif,12,14.0,225.0,10,41,325,https://www.kisskissbankbank.com/en/users/yoan-villars,fr,"164 pages, 2 couvertures et 0 publicité !"
8,https://www.kisskissbankbank.com/en/projects/teaserlappat,"TEASER Long-métrage ""L'APPÂT""",Successful,169,"€3,642","Out of €2,160",01/11/2021,62,"Anti racism,International solidarity,Independent media",jpg,5,5.0,80.0,0,11,64,https://www.kisskissbankbank.com/en/users/teaser-appat,en,"SOUTENEZ LE TOURNAGE DU TEASER DU LONG-MÉTRAGE ""L'APPÂT""."
9,https://www.kisskissbankbank.com/en/projects/documentaire-orlando-pantera,Documentaire Orlando Pantera: la comète venue du Cap-Vert,Successful,100,"€3,335","Out of €3,335",02/21/2020,38,Indie,png,8,5.0,1000.0,0,7,42,https://www.kisskissbankbank.com/en/users/alex-grimaldi,en,"Help me to make a documentary on the story of Orlando Pantera, a musical genius from Cape Verde who tragically died in 2001 at age 33
"
10,https://www.kisskissbankbank.com/en/projects/j-aime-the-cafe-torrefaction-de-cafes-fins-a-reims,J'aime Thé Café - Torréfaction de cafés fins à REIMS,Successful,101,"€7,070","Out of €7,000",02/21/2020,82,,jpg,11,10.0,1000.0,6,32,85,https://www.kisskissbankbank.com/en/users/j-aime-the-cafe,fr,"Aidez-nous à ouvrir notre torréfaction de cafés de spécialité à Reims. 
Un projet artisanal, gourmand, responsable et ambitieux! "
11,https://www.kisskissbankbank.com/en/projects/jaym-1er-album,Jaym - 1er album,Successful,126,"€7,569","Out of €6,000",02/21/2020,182,,jpg,7,10.0,500.0,0,28,185,https://www.kisskissbankbank.com/en/users/jeremy-chevrier,fr,Soutenez la promotion de l'album de Jaym en l'aidant à financer plusieurs clips musicaux ainsi que leur diffusion sur internet!
12,https://www.kisskissbankbank.com/en/projects/clip-de-partez-devant-gabriel-tur,CLIP DE PARTEZ DEVANT - GABRIEL TUR,Successful,113,"€3,048","Out of €2,700",02/20/2020,65,Indie,jpg,7,10.0,500.0,2,4,66,https://www.kisskissbankbank.com/en/users/gabriel--7,fr,"""Partez Devant"" avec nous"
13,https://www.kisskissbankbank.com/en/projects/timbrees,"Timbrées, l'aventure en toutes lettres",Successful,201,"€12,061","Out of €6,000",02/20/2020,357,Independent media,png,5,7.0,500.0,3,29,362,https://www.kisskissbankbank.com/en/users/2-jours-pour-vivre,fr,Lettres très recommandées pour s'aventurer loin de la 4G.
14,https://www.kisskissbankbank.com/en/projects/william-shakespeare-michel-marc-bouchard-avignon-2020,William Shakespeare & Michel Marc Bouchard - Avignon 2020,Successful,111,"€5,570","Out of €5,000",02/19/2020,84,"LGBTQ+,Indie",jpg,5,10.0,150.0,0,9,97,https://www.kisskissbankbank.com/en/users/naceo-france,fr,"On est beaux ! On est chauds ! 
On est Nacéo !"
15,https://www.kisskissbankbank.com/en/projects/mulhouse-water-polo,Rêvons ensemble des Jeux Olympiques 2024 pour des mulhousiens,Successful,101,"€15,122","Out of €15,000",02/18/2020,74,,jpg,9,10.0,250.0,0,8,81,https://www.kisskissbankbank.com/en/users/mwp,fr,Rêvons ensemble des jeux olympiques 2024 pour des mulhousiens
16,https://www.kisskissbankbank.com/en/projects/la-traviata-la-fabrique-opera-val-de-loire,La Traviata - La Fabrique Opéra Val de Loire,Successful,111,"€4,440","Out of €4,000",02/17/2020,88,Indie,png,8,10.0,500.0,0,8,93,https://www.kisskissbankbank.com/en/users/lfovdl,fr,"Pour sa 6e année, La Fabrique Opéra Val de Loire vous présente La Traviata de Verdi. Venez le partager avec nous !"
17,https://www.kisskissbankbank.com/en/projects/tommy-s-projects,Tommy Loska Photo's Projects,Successful,112,"€3,355","Out of €3,000",02/16/2020,25,"Indie,French manufacturing",jpg,26,5.0,2490.0,0,5,30,https://www.kisskissbankbank.com/en/users/tommy-loska,fr,Capture Emotions ! 
18,https://www.kisskissbankbank.com/en/projects/ana-ep,ANA - First EP,Successful,113,"€4,520","Out of €4,000",02/16/2020,86,"Feminism,International solidarity,Indie",jpg,13,5.0,1000.0,3,23,88,https://www.kisskissbankbank.com/en/users/ana-rocha-gaspar,en,First EP on the way : help us bring our music to you!
19,https://www.kisskissbankbank.com/en/projects/voile-un-reve-de-momes,VOILE .. Un rêve de mômes ..,Successful,101,"€3,025","Out of €3,000",02/16/2020,21,,png,6,20.0,600.0,0,7,25,https://www.kisskissbankbank.com/en/users/caroline-emmanuelle,fr,Devenez un Crew Funder !!! rejoignez notre équipage pour la Transquadra 2020-2021 ! Le seul duo féminin de cette édition ! 
20,https://www.kisskissbankbank.com/en/projects/en-route-pour-2020,En route pour 2020,Successful,100,"€32,000","Out of €32,000",02/16/2020,894,"Biodiversity,Recycling",png,4,10.0,100.0,0,149,937,https://www.kisskissbankbank.com/en/users/izap4u,fr,Finance la production des Zaps pour l'année 2020 et permets au site de poursuivre son développement.
21,https://www.kisskissbankbank.com/en/projects/exil-court-metrage,EXIL - Court-métrage,Successful,103,"€5,145","Out of €5,000",02/15/2020,54,,JPG,7,10.0,500.0,0,9,57,https://www.kisskissbankbank.com/en/users/hector-et-max,fr,"Se déconnecter, la grande aventure moderne ?"
22,https://www.kisskissbankbank.com/en/projects/suzycook-cuisine-alternative-mobile,"SuzyCook, cuisine alternative mobile",Successful,112,"€3,350","Out of €3,000",02/15/2020,40,"Organic,Locavore",jpg,10,5.0,500.0,0,14,41,https://www.kisskissbankbank.com/en/users/emerys,fr,"Soutenez Suzy Cook, et son projet de traiteur ambulant éco-responsable."
23,https://www.kisskissbankbank.com/en/projects/faire-de-l-entrepot-paupart-un-joyeux-bazar-t,Faire de l'entrepôt pauPart un joyeux Bazar't,Successful,106,"€6,358","Out of €6,000",02/15/2020,75,Local Development,jpg,9,5.0,1000.0,0,26,76,https://www.kisskissbankbank.com/en/users/christelle-capy,fr,"Faites de pauPart un joyeux bazar't culturel & artistique. 
"
24,https://www.kisskissbankbank.com/en/projects/sheepshipcomics,Sheep's Ship Comics,Successful,109,"€3,260","Out of €3,000",02/15/2020,41,"Indie,French manufacturing",png,9,7.0,114.0,1,5,50,https://www.kisskissbankbank.com/en/users/sheep-s-ship-comics,fr,Béhéhéhéhéééééé
25,https://www.kisskissbankbank.com/en/projects/de-toutes-nos-forces-chapitre-ii,De Toutes Nos Forces Chapitre II,Successful,106,"€5,304","Out of €5,000",02/13/2020,149,Health and Handicap,jpg,9,5.0,3000.0,2,34,154,https://www.kisskissbankbank.com/en/users/benoit-mouvault,fr,"Soutenez-nous en finançant notre matériel pour la pratique du triathlon Handi-Valide : Un Ironman c'est bien, à deux c'est mieux !"
26,https://www.kisskissbankbank.com/en/projects/aurelia-prado-robes-de-mariees-ecoresponsables,Aurélia Prado - Créatrice de Robes de mariées Ecoresponsables,Successful,150,"€5,250","Out of €3,500",02/12/2020,62,"Local Development,Fair Trade,French manufacturing",jpg,9,15.0,1500.0,2,20,63,https://www.kisskissbankbank.com/en/users/aurelia-prado,fr,"Aurélia Prado, Créatrice de robes de mariées sur-mesure Ecoresponsables, 100% made in France. J'ai besoin de vous pour continuer l'aventure!"
27,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,Transat Jacques Vabre 2021 - Why it wouldn't be us? ?,Successful,110,"€10,999","Out of €10,000",01/13/2021,106,,jpg,6,10.0,1000.0,4,18,109,https://www.kisskissbankbank.com/en/users/engue-vic-sailing,en,"A DREAM, TWO FRIENDS ... AND YOU - Challenge the ocean at our side by helping us reach the starting line!"
28,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,"Pisciculture Normand' Truites : produits locaux, de qualité, en circuit court",Successful,114,"€4,540","Out of €4,000",01/13/2021,83,Local Development,jpeg,4,6.0,50.0,0,11,87,https://www.kisskissbankbank.com/en/users/adelie-martin-wagner,fr,"Des  truites  normand ... normandes ... Normandie !
Un circuit court à renforcer !
Des produits transformés de façon artisanale !"
29,https://www.kisskissbankbank.com/en/projects/levolcan,Le Volcan needs you !,Successful,180,"€14,400","Out of €8,000",01/13/2021,312,"Local Development,Indie",png,18,3.0,1000.0,6,41,372,https://www.kisskissbankbank.com/en/users/steven-monteau-4313f0b8-843f-4aed-a539-4bbca784d2cb,fi,Soutenez le projet sur KissKissBankBank !
30,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,"Cassava, table & boulangerie artisanale engagée",Successful,106,"€4,225","Out of €4,000",01/12/2021,42,"Organic,Locavore,Local Development",png,8,10.0,400.0,1,16,46,https://www.kisskissbankbank.com/en/users/valerie-lucas-399ca103-b417-455e-aa2f-a510af01e378,fr,Participez à la naissance de Cassava à la Réunion! Le mariage d'une boulangerie artisanale au levain et d'une table éco-responsable
31,https://www.kisskissbankbank.com/en/projects/ibiza-horse-valley,IBIZA HORSE VALLEY,Successful,104,"€20,880","Out of €20,000",01/12/2021,175,Animal Welfare,png,4,10.0,500.0,6,71,190,https://www.kisskissbankbank.com/en/users/jean-patrick-capdevielle,fr,"Sauvons ensemble ""Ibiza Horse Valley"", le sanctuaire des chevaux libres"
32,https://www.kisskissbankbank.com/en/projects/ob2,ENREGISTREMENT DE L'ALBUM OB2 GREGORY OTT ET VINCENT BIDAL,Successful,108,"€10,750","Out of €10,000",01/12/2021,211,Indie,jpg,7,10.0,500.0,0,53,222,https://www.kisskissbankbank.com/en/users/vincent-bidal,fr,Soutenez le projet sur KissKissBankBank !
33,https://www.kisskissbankbank.com/en/projects/playschool-l-album-la-garderie,Playschool l'album : LA GARDERIE,Successful,120,"€3,595","Out of €3,000",01/12/2021,95,Indie,jpg,7,10.0,1000.0,4,22,98,https://www.kisskissbankbank.com/en/users/emmanuel-olsson,fr,"Collectif d’artistes, Playschool a besoin de vous pour financer la sortie de l'album ""La garderie"" et produire un beau clip."
34,https://www.kisskissbankbank.com/en/projects/sick16,S!CK soutient l'indépendance avec le double-numéro Gremlins,Successful,876,876 pre-orders,Out of 100,01/12/2021,312,"French manufacturing,Independent media",gif,12,14.0,225.0,10,41,325,https://www.kisskissbankbank.com/en/users/yoan-villars,fr,"164 pages, 2 couvertures et 0 publicité !"
35,https://www.kisskissbankbank.com/en/projects/teaserlappat,"TEASER Long-métrage ""L'APPÂT""",Successful,169,"€3,642","Out of €2,160",01/11/2021,62,"Anti racism,International solidarity,Independent media",jpg,5,5.0,80.0,0,11,64,https://www.kisskissbankbank.com/en/users/teaser-appat,en,"SOUTENEZ LE TOURNAGE DU TEASER DU LONG-MÉTRAGE ""L'APPÂT""."
36,https://www.kisskissbankbank.com/en/projects/om-layoun,Om Layoun,Successful,102,"€11,985","Out of €11,800",02/07/2020,137,Indie,png,8,10.0,500.0,1,16,145,https://www.kisskissbankbank.com/en/users/habib-ayeb,en,Access to water is a fundamental human right which cannot be subject to any condition or limitation ...
37,https://www.kisskissbankbank.com/en/projects/pas-excatement-lamour,PAS EXACTEMENT L'AMOUR,Successful,112,"€11,160","Out of €10,000",02/07/2020,134,,png,8,10.0,750.0,0,17,138,https://www.kisskissbankbank.com/en/users/juliette-ramirez,fr,"""Pas exactement l'amour.
Mais alors quoi?
Autre chose.
Une folie.""

 SOYEZ FOUS ET SOUTENEZ NOUS !"
38,https://www.kisskissbankbank.com/en/projects/dignite-s-une-comedie-gentiment-satirique-et-burlesque,"DIGNITÉ(S), une comédie (gentiment) satirique et burlesque",Successful,100,"€3,015","Out of €3,000",02/06/2020,47,Indie,jpg,8,5.0,1000.0,3,8,64,https://www.kisskissbankbank.com/en/users/jean-baptiste-kaupp,hr,Soutenez le projet sur KissKissBankBank !
39,https://www.kisskissbankbank.com/en/projects/dans-les-plis-du-vieux-village-un-livre-de-francoise-lerusse,"DANS LES PLIS DU VIEUX VILLAGE, un livre de Françoise Lerusse",Successful,215,"€4,186","Out of €1,950",02/05/2020,76,"Zero waste,French manufacturing,Independent media",jpg,7,5.0,150.0,0,11,91,https://www.kisskissbankbank.com/en/users/corridor-elephant,fr,"Aidez-nous à éditer le livre photographique ""DANS LES PLIS DU VIEUX VILLAGE"" de Françoise Lerusse"
40,https://www.kisskissbankbank.com/en/projects/enregistrement-premier-album-de-triveni-revisite-de-17-standards-francais,"""Les mots d'amour"", premier album de Trivéni !",Successful,106,"€3,190","Out of €3,000",02/04/2020,45,Indie,jpg,6,20.0,900.0,1,18,58,https://www.kisskissbankbank.com/en/users/triveni,fr,"Trivéni revisite 17 standards de la chanson française (Barbara, Piaf, Sanson, Gréco, Moustaki, Reggiani…), entourée de musiciens pros !"
