,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,"Zigzag Paris, le jeu pour découvrir Paris hors des sentiers battus",Successful,418,"2,092 pre-orders",Out of 500,12/21/2019,"1,150",,png,12,24.0,96.0,10,53,1176,https://www.kisskissbankbank.com/en/users/paris-zigzag--2,fr,Le Jeu ultime pour découvrir Paris hors des sentiers battus !
1,https://www.kisskissbankbank.com/en/projects/easyendo,Easyendo,Successful,100,"€20,004","Out of €20,000",12/21/2019,164,,png,12,1.0,5000.0,8,33,178,https://www.kisskissbankbank.com/en/users/easyendo,fr,Easyendo : mieux vivre mon endométriose                                        (Soutenez notre Appli-web santé et bien-être !)
2,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,Half-Pipe EP,Successful,104,"€3,278","Out of €3,150",12/22/2019,72,,jpeg,8,10.0,1000.0,0,9,76,https://www.kisskissbankbank.com/en/users/half-pipe,fr,Soutenez le projet sur KissKissBankBank !
3,https://www.kisskissbankbank.com/en/projects/greenstub-le-cofftea-shop-zero-dechet-alsacien,"GreenStub, le CoffTea Shop Zéro Déchet Alsacien",Successful,107,"€6,433","Out of €6,000",12/21/2019,77,,gif,11,5.0,1000.0,6,15,79,https://www.kisskissbankbank.com/en/users/green-stub,fr,"Participe à la création du 1er Cofftea shop indépendant et éco responsable d’Alsace. Boissons de spécialité, slow food et zéro déchet"
4,https://www.kisskissbankbank.com/en/projects/clit-revolution-manuel-dactivisme,"Clit Révolution, manuel d'activisme féministe",Successful,129,"2,571 pre-orders","Out of 2,000",12/20/2019,"2,249",,jpg,8,20.0,500.0,7,292,2285,https://www.kisskissbankbank.com/en/users/clit-revolution,fr,Procurez-vous le livre pour faire trembler le patriarcat...! 
5,https://www.kisskissbankbank.com/en/projects/potions-energiques-par-petit-ventre-heureux,Potions Energiques par Petit Ventre Heureux,Successful,182,"€18,172","Out of €10,000",12/20/2019,108,,png,9,5.0,1000.0,3,21,117,https://www.kisskissbankbank.com/en/users/isabella-obrist,fr,Petit Ventre Heureux at your service to digest food and emotions
6,https://www.kisskissbankbank.com/en/projects/kindstudio,"KIND STUDIO, womenswear made with kindness & passion.",Successful,153,"€12,225","Out of €8,000",12/20/2019,80,,jpg,13,10.0,2000.0,3,18,86,https://www.kisskissbankbank.com/en/users/kind-studio,fr,"Soutenez le lancement de KIND STUDIO, une marque de prêt-à-porter engagée."
7,https://www.kisskissbankbank.com/en/projects/la-box-de-marcel-fifi,La Box de Marcel & Fifi,Successful,107,107 pre-orders,Out of 100,12/20/2019,82,,png,6,20.0,300.0,0,18,93,https://www.kisskissbankbank.com/en/users/marcel-fifi,fr,Le cadeau qui gâte toute la tribu...et la planète!
8,https://www.kisskissbankbank.com/en/projects/ek-eau-studio-lemaquis,Ek-eau Studio - Association Le Maquis,Successful,100,"€4,010","Out of €4,000",12/20/2019,37,"Local Development,Indie",jpeg,7,5.0,400.0,0,6,40,https://www.kisskissbankbank.com/en/users/le-maquis--3,fr,Soutenez l'association Le Maquis et le premier tiers-lieu à énergie(s) positive(s)  !!!
9,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,Transat Jacques Vabre 2021 - Why it wouldn't be us? ?,Successful,110,"€10,999","Out of €10,000",01/13/2021,106,,jpg,6,10.0,1000.0,4,18,109,https://www.kisskissbankbank.com/en/users/engue-vic-sailing,en,"A DREAM, TWO FRIENDS ... AND YOU - Challenge the ocean at our side by helping us reach the starting line!"
10,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,"Pisciculture Normand' Truites : produits locaux, de qualité, en circuit court",Successful,114,"€4,540","Out of €4,000",01/13/2021,83,Local Development,jpeg,4,6.0,50.0,0,11,87,https://www.kisskissbankbank.com/en/users/adelie-martin-wagner,fr,"Des  truites  normand ... normandes ... Normandie !
Un circuit court à renforcer !
Des produits transformés de façon artisanale !"
11,https://www.kisskissbankbank.com/en/projects/levolcan,Le Volcan needs you !,Successful,180,"€14,400","Out of €8,000",01/13/2021,312,"Local Development,Indie",png,18,3.0,1000.0,6,41,372,https://www.kisskissbankbank.com/en/users/steven-monteau-4313f0b8-843f-4aed-a539-4bbca784d2cb,de,Soutenez le projet sur KissKissBankBank !
12,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,"Cassava, table & boulangerie artisanale engagée",Successful,106,"€4,225","Out of €4,000",01/12/2021,42,"Organic,Locavore,Local Development",png,8,10.0,400.0,1,16,46,https://www.kisskissbankbank.com/en/users/valerie-lucas-399ca103-b417-455e-aa2f-a510af01e378,fr,Participez à la naissance de Cassava à la Réunion! Le mariage d'une boulangerie artisanale au levain et d'une table éco-responsable
13,https://www.kisskissbankbank.com/en/projects/ibiza-horse-valley,IBIZA HORSE VALLEY,Successful,104,"€20,880","Out of €20,000",01/12/2021,175,Animal Welfare,png,4,10.0,500.0,6,71,190,https://www.kisskissbankbank.com/en/users/jean-patrick-capdevielle,fr,"Sauvons ensemble ""Ibiza Horse Valley"", le sanctuaire des chevaux libres"
14,https://www.kisskissbankbank.com/en/projects/ob2,ENREGISTREMENT DE L'ALBUM OB2 GREGORY OTT ET VINCENT BIDAL,Successful,108,"€10,750","Out of €10,000",01/12/2021,211,Indie,jpg,7,10.0,500.0,0,53,222,https://www.kisskissbankbank.com/en/users/vincent-bidal,hr,Soutenez le projet sur KissKissBankBank !
15,https://www.kisskissbankbank.com/en/projects/playschool-l-album-la-garderie,Playschool l'album : LA GARDERIE,Successful,120,"€3,595","Out of €3,000",01/12/2021,95,Indie,jpg,7,10.0,1000.0,4,22,98,https://www.kisskissbankbank.com/en/users/emmanuel-olsson,fr,"Collectif d’artistes, Playschool a besoin de vous pour financer la sortie de l'album ""La garderie"" et produire un beau clip."
16,https://www.kisskissbankbank.com/en/projects/sick16,S!CK soutient l'indépendance avec le double-numéro Gremlins,Successful,876,876 pre-orders,Out of 100,01/12/2021,312,"French manufacturing,Independent media",gif,12,14.0,225.0,10,41,325,https://www.kisskissbankbank.com/en/users/yoan-villars,fr,"164 pages, 2 couvertures et 0 publicité !"
17,https://www.kisskissbankbank.com/en/projects/teaserlappat,"TEASER Long-métrage ""L'APPÂT""",Successful,169,"€3,642","Out of €2,160",01/11/2021,62,"Anti racism,International solidarity,Independent media",jpg,5,5.0,80.0,0,11,64,https://www.kisskissbankbank.com/en/users/teaser-appat,en,"SOUTENEZ LE TOURNAGE DU TEASER DU LONG-MÉTRAGE ""L'APPÂT""."
18,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,Transat Jacques Vabre 2021 - Why it wouldn't be us? ?,Successful,110,"€10,999","Out of €10,000",01/13/2021,106,,jpg,6,10.0,1000.0,4,18,109,https://www.kisskissbankbank.com/en/users/engue-vic-sailing,en,"A DREAM, TWO FRIENDS ... AND YOU - Challenge the ocean at our side by helping us reach the starting line!"
19,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,"Pisciculture Normand' Truites : produits locaux, de qualité, en circuit court",Successful,114,"€4,540","Out of €4,000",01/13/2021,83,Local Development,jpeg,4,6.0,50.0,0,11,87,https://www.kisskissbankbank.com/en/users/adelie-martin-wagner,fr,"Des  truites  normand ... normandes ... Normandie !
Un circuit court à renforcer !
Des produits transformés de façon artisanale !"
20,https://www.kisskissbankbank.com/en/projects/levolcan,Le Volcan needs you !,Successful,180,"€14,400","Out of €8,000",01/13/2021,312,"Local Development,Indie",png,18,3.0,1000.0,6,41,372,https://www.kisskissbankbank.com/en/users/steven-monteau-4313f0b8-843f-4aed-a539-4bbca784d2cb,fi,Soutenez le projet sur KissKissBankBank !
21,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,"Cassava, table & boulangerie artisanale engagée",Successful,106,"€4,225","Out of €4,000",01/12/2021,42,"Organic,Locavore,Local Development",png,8,10.0,400.0,1,16,46,https://www.kisskissbankbank.com/en/users/valerie-lucas-399ca103-b417-455e-aa2f-a510af01e378,fr,Participez à la naissance de Cassava à la Réunion! Le mariage d'une boulangerie artisanale au levain et d'une table éco-responsable
22,https://www.kisskissbankbank.com/en/projects/ibiza-horse-valley,IBIZA HORSE VALLEY,Successful,104,"€20,880","Out of €20,000",01/12/2021,175,Animal Welfare,png,4,10.0,500.0,6,71,190,https://www.kisskissbankbank.com/en/users/jean-patrick-capdevielle,fr,"Sauvons ensemble ""Ibiza Horse Valley"", le sanctuaire des chevaux libres"
