,Unnamed: 0,backers,creater_link,end_date,funded,language,max_price,min_price,num_comments,num_contributions,num_news,number_rewards,percentage_fund,pro_link,short_des,status,subcategory,target,thumbnail_type,title
53,53,34,https://www.kisskissbankbank.com/en/users/theatre-soleil,08/22/2017,"€3,515",fr,500.0,5.0,4.0,33.0,11.0,6.0,106.0,https://www.kisskissbankbank.com/en/projects/donner-de-l-espoir-a-l-espoir,Aidez-nous à donner de l’espoir à l’Espoir !,Successful,,"Out of €3,315",jpg,Donner de l’espoir à l’Espoir
54,54,64,https://www.kisskissbankbank.com/en/users/greengo,08/21/2017,"€6,035",fr,500.0,5.0,16.0,64.0,0.0,6.0,100.0,https://www.kisskissbankbank.com/en/projects/borderline,"Donnez des ailes à"" BORDERLINE "": Une pièce de théâtre où un couple de trentenaires dépasse ses propres limites pour la bonne cause : L'amour.",Successful,,"Out of €6,000",jpg,BORDERLINE
55,55,279,https://www.kisskissbankbank.com/en/users/veggi,08/21/2017,"€14,345",fr,275.0,1.0,49.0,279.0,6.0,16.0,102.0,https://www.kisskissbankbank.com/en/projects/epicerie-responsable-a-namur,"Aidez-nous à déménager à Namur et à y poser nos valises pleines de produits éthiques, responsables, gourmands, locaux, et bien plus encore !",Successful,,"Out of €14,000",jpg,Epicerie responsable à Namur
56,56,138,https://www.kisskissbankbank.com/en/users/mic22,08/20/2017,"€7,015",fr,500.0,5.0,44.0,138.0,0.0,9.0,175.0,https://www.kisskissbankbank.com/en/projects/le-pari-s-de-mika,"Soutenez un jeune belge hyper sympa qui intégrera dès septembre la meilleure école de comédie musicale de Paris!
",Successful,,"Out of €4,000",jpg,Le Pari(s) de Mika
57,57,42,https://www.kisskissbankbank.com/en/users/quentincarnaille,08/18/2017,"€5,080",fr,1000.0,5.0,5.0,42.0,0.0,6.0,101.0,https://www.kisskissbankbank.com/en/projects/un-nouveau-regard-sur-le-patrimoine-lillois,"Financez l’un des projets phares des Journées du Patrimoine 2017 à Lille.
",Successful,,"Out of €5,000",png,Un nouveau regard sur le patrimoine Lillois.
58,58,31,https://www.kisskissbankbank.com/en/users/chloedelest,08/18/2017,"€5,045",fr,1000.0,5.0,2.0,31.0,2.0,7.0,100.0,https://www.kisskissbankbank.com/en/projects/rendez-vous-a-monte-carle--4,"Nous avons besoin de vous pour monter cette belle pièce autour de la rencontre amoureuse teintée d'onirisme, de mystère mais également d'humour!",Successful,,"Out of €5,000",JPG,Rendez - vous à Monte-Carle
59,59,108,https://www.kisskissbankbank.com/en/users/satin-doll,08/16/2017,"€6,756",fr,1000.0,5.0,29.0,108.0,0.0,10.0,112.0,https://www.kisskissbankbank.com/en/projects/les-sisters-s-envolent-vers-leur-2nd-album-retro,"Après vous avoir fait rêvé avec notre 1er album qui a remporté un franc succès, aidez-nous pour l'enregistrement du second opus !",Successful,,"Out of €6,000",jpg,Les Sisters s'envolent vers leur 2nd album rétro !
60,60,54,https://www.kisskissbankbank.com/en/users/j-adrien,08/16/2017,"€5,080",fr,1000.0,10.0,10.0,54.0,0.0,6.0,101.0,https://www.kisskissbankbank.com/en/projects/la-fille-du-lac,"Soutenez nous et le cinéma de genre français en nous aidant à réaliser ce survival original, perché dans les montagnes.",Successful,,"Out of €5,000",jpeg,LA FILLE DU LAC
61,61,61,https://www.kisskissbankbank.com/en/users/cloe--8,08/15/2017,"€3,770",fr,500.0,5.0,12.0,61.0,5.0,8.0,114.0,https://www.kisskissbankbank.com/en/projects/en-roue-libre-de-nantes-a-tokyo-a-velo-sur-les-chemins-du-monde,"De Nantes à Tokyo, un voyage à vélo en solo de 2 ans à la redécouverte de ses origines.",Successful,,"Out of €3,300",gif,En Roue Libre - De Nantes à Tokyo. A vélo sur les chemins du monde
62,62,100,https://www.kisskissbankbank.com/en/users/tyroparc,08/15/2017,"$CAD18,474",en,0.0,0.0,4.0,100.0,0.0,8.0,123.0,https://www.kisskissbankbank.com/en/projects/une-falaise-et-400-metres-de-cables,"Reach for the stars | Contribute to the lengthening of our Via Ferrata, a sport halfway between hiking and climbing!",Successful,,"Out of $CAD15,000",jpg,Une falaise et 400 mètres de câbles
63,63,108,https://www.kisskissbankbank.com/en/users/adrien-maury,08/15/2017,"€4,620",fr,10000.0,10.0,12.0,108.0,11.0,10.0,115.0,https://www.kisskissbankbank.com/en/projects/adrien-maury-premier-album,"Soutenez-moi pour mon 1er ALBUM ""Into my blue"", on a commencé ensemble, on réussira ensemble !",Successful,,"Out of €4,000",jpg,Adrien MAURY : Premier Album
64,64,49,https://www.kisskissbankbank.com/en/users/iziboat,08/15/2017,"€5,028",fr,200.0,10.0,22.0,49.0,0.0,7.0,100.0,https://www.kisskissbankbank.com/en/projects/iziboat-la-voile-facile,"Rendons la voile facile et accessible à tous : enfant, jeune, adulte, sportif, personne âgée ou à mobilité réduite...",Successful,,"Out of €5,000",png,IZIBoat® : La voile facile
65,65,134,https://www.kisskissbankbank.com/en/users/flo-the-kid,08/15/2017,"€6,730",en,1000.0,10.0,28.0,134.0,1.0,9.0,112.0,https://www.kisskissbankbank.com/en/projects/flo-the-kid-first-ep-mini-album,"Here it is, the very first EP of Flo the kid!

Well almost... we still need your help.",Successful,,"Out of €6,000",jpg,Flo the kid - first EP (mini album)
