,Unnamed: 0,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
85,85,https://www.kisskissbankbank.com/en/projects/l-histoire-terrible-mais-inachevee-de-norodom-sihanouk-roi-du-cambodge,"L'histoire terrible mais inachevée de Norodom Sihanouk, roi du Cambodge",Successful,123,"€7,380","Out of €6,000",04/29/2013,71,,jpg,8,10.0,5000.0,0,7,71,https://www.kisskissbankbank.com/en/users/phare-ponleu-selpak,en,"

Contribute to the creation of the second part of the play ""L'histoire terrible mais inachevée de Sihanouk Roi du Cambodge"" (“The terrible though unfinished story of Sihanouk, King of Cambodia”) by Helene Cixous. The seven hour long play in Khmer language allows a difficult page of Cambodian history to be revisited on stage. A very emotional show with 30 young talented Cambodian artists."
86,86,https://www.kisskissbankbank.com/en/projects/handicap-ou-pas-cap,Handicap ou Pas Cap?!,Successful,104,"€3,832","Out of €3,700",04/28/2013,117,,jpg,6,5.0,350.0,0,19,117,https://www.kisskissbankbank.com/en/users/annabellehpc,en,"Travel, discover through our project, an artistic universe where disability is not paralyzing but instead is a feat!"
87,87,https://www.kisskissbankbank.com/en/projects/genese-double-recueil,Genèse & Double recueil,Successful,103,"€4,130","Out of €4,000",04/28/2013,62,,jpg,7,5.0,200.0,5,24,62,https://www.kisskissbankbank.com/en/users/clothilde-anty,fr,"
Auto-édition de deux livres d'artiste, en vue d'une exposition à la galerie Modulab de Metz (de fin juin à août 2013)"
88,88,https://www.kisskissbankbank.com/en/projects/nouvel-album-de-bud-mcmuffin,Nouvel album de Bud McMuffin,Successful,102,"€3,070","Out of €3,000",04/28/2013,74,,jpeg,13,5.0,1000000.0,0,24,73,https://www.kisskissbankbank.com/en/users/bud-mcmuffin,fr,"Nous avons pris du retard dans l'enregistrement, mais ne vous inquiétez pas, vous recevrez vos contreparties avant la fin de l'année !!"
89,89,https://www.kisskissbankbank.com/en/projects/pschuuu,PSCHUUU,Successful,104,"€9,336","Out of €9,000",04/28/2013,157,,jpg,8,15.0,300.0,53,83,157,https://www.kisskissbankbank.com/en/users/christoph,en,"PSCHUUU, the magic sandbox, presents a sand-and-air show that leads the audience into the magical world of storytelling in the mind’s eye.
"
0,0,https://www.kisskissbankbank.com/en/projects/peripherique-terre-promise,"Périphérique, Terre promise",Successful,155,"€10,095","Out of €6,500",04/26/2013,153,,jpg,5,10.0,360.0,4,28,152,https://www.kisskissbankbank.com/en/users/babel-photo,fr,"Nous vous invitons à participer au projet de livre photographique ""Périphérique, Terre promise"" "
1,1,https://www.kisskissbankbank.com/en/projects/une-fromagerie-a-la-vieille-grange,Une fromagerie à la Vieille Grange,Successful,104,"€5,210","Out of €5,000",04/26/2013,71,,png,6,5.0,300.0,4,31,71,https://www.kisskissbankbank.com/en/users/la-vieille-grange,fr,"



La Vieille Grange vient de voir le jour. Avec votre aide, les 220 chèvres de race Alpine et Saanen, verront leur lait devenir fromage..."
2,2,https://www.kisskissbankbank.com/en/projects/apres-le-feu--2,APRES LE FEU,Successful,128,"€8,951","Out of €7,000",04/25/2013,93,,jpg,7,10.0,1000.0,0,27,93,https://www.kisskissbankbank.com/en/users/margherita-caron,fr,"L'été. Margo et Tony gardent une tour de guet d'incendie au fin fond de l'Ardèche. Un étrange huis clos, perdu dans la nature..."
3,3,https://www.kisskissbankbank.com/en/projects/stabat-mater-furiosa-avignon-off-2013,Stabat Mater Furiosa - Avignon Off 2013,Successful,131,"€3,940","Out of €3,000",04/24/2013,60,,jpg,10,10.0,1000.0,6,15,60,https://www.kisskissbankbank.com/en/users/cie-les-trois-temps,fr,"








Pour que ce duo voix/violon autour du texte incontournable de Siméon poursuive sa route à Avignon OFF cet été, nous avons besoin de vous!"
4,4,https://www.kisskissbankbank.com/en/projects/mini-transat-2013-avec-pf-dargnies,Mini Transat 2013 avec PF Dargnies,Successful,100,"€19,830","Out of €19,800",04/24/2013,131,,jpg,7,10.0,5000.0,4,45,131,https://www.kisskissbankbank.com/en/users/pifou,fr,"Pierre-François Dargnies (alias Pifou) se lance dans l'aventure de la Mini Transat 2013. Cette épreuve mythique consiste en une traversée de l'Atlantique en solitaire sur un bateau de 6m50. Sans moyen de communication avec la terre, c'est le retour au source sur des bateaux à la pointe de la technologie. Pifou recherche des partenaires afin de l'aider à mener ce projet jusqu'au bout."
5,5,https://www.kisskissbankbank.com/en/projects/diploma-mouchoirs-en-tissu,"Diploma, Mouchoirs en tissu",Successful,100,"€3,200","Out of €3,200",04/23/2013,35,,jpg,9,5.0,1000.0,15,10,34,https://www.kisskissbankbank.com/en/users/moha-fiji,fr,Contribuez au lancement de Diploma et de sa première collection de mouchoirs en tissu réalisés artisanalement en France. 
6,6,https://www.kisskissbankbank.com/en/projects/gabriela-court-metrage-de-fiction,Gabriela / Court-métrage de fiction,Successful,105,"€3,160","Out of €3,000",04/23/2013,41,,jpg,8,10.0,300.0,1,6,41,https://www.kisskissbankbank.com/en/users/anna-leysens,fr,"Ramassant des câpres sur une île lointaine, Gabriela est foudroyée par une insolation qui illuminera son esprit à vie."
7,7,https://www.kisskissbankbank.com/en/projects/jah-est-tombe-sur-la-tete,Jah est tombé sur la tête,Successful,102,"€3,560","Out of €3,500",04/23/2013,66,,jpg,5,10.0,250.0,0,14,66,https://www.kisskissbankbank.com/en/users/les-vagabonds-reporters,fr,Partez pour un road-moovie musical mouvementé à travers tout le Niger avec l'artiste reggae Salim Jah Peter. Soutenez nous ! Merci
8,8,https://www.kisskissbankbank.com/en/projects/comme-on-est,COMME ON EST,Successful,126,"€3,140","Out of €2,500",04/22/2013,66,,jpg,11,5.0,400.0,12,22,66,https://www.kisskissbankbank.com/en/users/association-kontrast,fr,"
Ce moyen métrage est la première adaptation au cinéma d’une pièce de Michel Vinaver. plongez au cœur de l’intimité de deux frères..."
9,9,https://www.kisskissbankbank.com/en/projects/la-porte-noire-the-black-gate,"La Porte Noire                                        ""The Black Gate""",Successful,101,"€4,020","Out of €4,000",04/22/2013,40,,jpg,9,1.0,3000.0,0,14,37,https://www.kisskissbankbank.com/en/users/fabrice-martin,fr,"La Porte Noire est un long métrage fantastique presque terminé.
Nous avons besoin de vous pour financer le reste de la post-production."
10,10,https://www.kisskissbankbank.com/en/projects/le-cafe-borely,Le Café Borély,Successful,112,"€10,080","Out of €9,000",04/22/2013,82,,jpg,11,5.0,3000.0,1,34,82,https://www.kisskissbankbank.com/en/users/ariel-lorin-artisan-culinaire,fr,"Un cadre exceptionnel.
Une cuisine maison, simple, raffinée et engagée : produits frais, locaux et de saison. Circuits courts.
"
11,11,https://www.kisskissbankbank.com/en/projects/on-the-rail-again-du-theatre-dans-les-trains,"""On the Rail again"", du théâtre dans les trains!",Successful,100,"€4,504","Out of €4,500",04/22/2013,57,,jpg,13,1.0,4500.0,0,17,57,https://www.kisskissbankbank.com/en/users/la-compagnie-des-rails,fr,"Trois acteurs, un caméraman et un métro... ""On the Rail again"", un documentaire qui déraille! Après la France, la Suisse et la Belgique, la Compagnie des Rails s'envole pour jouer Molière dans les trains du Québec. Venez participer avec nous à la première étape d'un tour du monde en train... et en théâtre!"
12,12,https://www.kisskissbankbank.com/en/projects/mornac-sur-seudre-photographies-et-paroles-de-mornacons,"Mornac-sur-Seudre, photographies et paroles de Mornaçons",Successful,102,"€3,054","Out of €3,000",04/22/2013,64,,jpg,9,1.0,1000.0,4,22,64,https://www.kisskissbankbank.com/en/users/julien-gongora,fr,"""Mornac-sur-Seudre"" est un livre photo auto-édité. La rencontre d'un petit village à part, ces habitants, ces marais... J'ai besoin de vous"
13,13,https://www.kisskissbankbank.com/en/projects/les-4-barbues-au-festival-d-avignon,Les 4 Barbues au festival d'Avignon,Successful,100,"€6,402","Out of €6,400",04/22/2013,79,,jpg,7,10.0,1000.0,2,16,78,https://www.kisskissbankbank.com/en/users/unepetitevoixmadit,fr,"Création inédite et unique en France : le répertoire des 4 Barbus revisité par des femmes.
Un spectacle musical haut en couleurs !"
14,14,https://www.kisskissbankbank.com/en/projects/anthony-joseph-new-album--2,ANTHONY JOSEPH - NEW ALBUM,Successful,104,"€7,803","Out of €7,500",04/21/2013,198,,jpg,13,2.0,2500.0,5,56,197,https://www.kisskissbankbank.com/en/users/heavenly-sweetness,en,Participate in the recording of the new ANTHONY JOSEPH album. It will be produced and composed by American musician MESHELL NDEGEOCELLO!
15,15,https://www.kisskissbankbank.com/en/projects/bad-tripes,Bad Tripes,Successful,105,"€3,162","Out of €3,000",04/21/2013,91,,jpg,6,5.0,100.0,0,22,91,https://www.kisskissbankbank.com/en/users/bad-tripes,fr,"Bad Tripes se lance dans la réalisation de son premier clip, et a besoin de vous, bonnes gens, pour financer ce fabuleux projet !"
16,16,https://www.kisskissbankbank.com/en/projects/pegman-coin,Pegman coin,Successful,101,"€3,026","Out of €3,000",04/21/2013,95,,jpg,6,5.0,200.0,1,8,95,https://www.kisskissbankbank.com/en/users/microtruc,fr,Expérimentation artistique de mise en circulation d'une nouvelle monnaie : le Peg Coin.
17,17,https://www.kisskissbankbank.com/en/projects/partagez-plus-qu-un-repas-avec-votre-mobile,Partagez plus qu'un repas avec votre mobile!,Successful,101,"€5,065","Out of €5,000",04/21/2013,85,,png,8,5.0,400.0,10,28,84,https://www.kisskissbankbank.com/en/users/aureldaniel,en,"Beyond Croissant gathers travelers, expats and locals in their homes to share (more than just) a meal."
18,18,https://www.kisskissbankbank.com/en/projects/l-artefact-salon-grandit-et-devient-un-site-marchand-pour-les-artisans-locaux,"Création d'un site marchand, spécialisé dans l'artisanat local : L'Artefact.",Successful,100,"€3,515","Out of €3,500",01/16/2021,16,"Local Development,Recycling,French manufacturing",jpg,7,10.0,1000.0,7,17,20,https://www.kisskissbankbank.com/en/users/carine-marcoux-zenner,fr,"Soyez précurseurs dans la création d'une plateforme de vente dédiée à l'artisanat local et à ses artisans, devenez mécènes de L'Artefact !"
19,19,https://www.kisskissbankbank.com/en/projects/wilma,Wilma,Successful,189,283 pre-orders,Out of 150,01/15/2021,153,Feminism,gif,7,10.0,170.0,1,31,155,https://www.kisskissbankbank.com/en/users/celine-champonnet,en,We BELIEVE IN WOMEN CYCLING
20,20,https://www.kisskissbankbank.com/en/projects/aidez-a-la-creation-de-balinisez-vous,Balinisez-vous! Collecte pour la Création 2021,Successful,111,"€3,900","Out of €3,500",01/16/2021,89,Indie,jpg,14,10.0,1000.0,2,19,91,https://www.kisskissbankbank.com/en/users/joannabelloni,fr,Un spectacle de masques balinais...Topèng!  Aidez à la création d'un voyage théâtral qui frappe à votre porte...
21,21,https://www.kisskissbankbank.com/en/projects/camille-rock-le-chant-des-crevettes-premier-album,"Camille Rock, Le Chant des Crevettes, premier album",Successful,120,"€3,596","Out of €3,000",01/15/2021,86,"Feminism,Indie",JPG,8,5.0,1000.0,1,22,88,https://www.kisskissbankbank.com/en/users/caracorocky,fr,"Participez à la réalisation du 1er album de Camille ROCK, Le Chant des Crevettes."
22,22,https://www.kisskissbankbank.com/en/projects/belmondo-quintet-brotherhood,Belmondo Quintet : Brotherhood,Successful,125,"€8,110","Out of €6,500",01/15/2021,206,"Indie,French manufacturing",png,22,10.0,6500.0,0,55,219,https://www.kisskissbankbank.com/en/users/jazz-people,fr,Soutenez le nouvel album des frères Belmondo sur KissKissBankBank !
23,23,https://www.kisskissbankbank.com/en/projects/restaurant-inclusif-a-l-essentiel,Restaurant inclusif - A l'Essentiel,Successful,101,"€9,630","Out of €9,500",01/15/2021,81,"Locavore,Health and Handicap,Local Development",jpg,4,10.0,100.0,1,12,81,https://www.kisskissbankbank.com/en/users/louis-merlier-b67ae42a-189e-4584-94fb-93acbfeb4ab3,fr,"Soutenez la création d'un restaurant solidaire, pour l'inclusion des travailleurs en situation de handicap !"
24,24,https://www.kisskissbankbank.com/en/projects/in-vivo,IN VIVO : TOUS LES VISAGES D'ERASME,Successful,107,214 pre-orders,Out of 200,01/15/2021,192,"Health and Handicap,Indie",jpg,7,10.0,300.0,12,36,202,https://www.kisskissbankbank.com/en/users/majdeline-mokhbir,fr,Vos applaudissements dans un livre
25,25,https://www.kisskissbankbank.com/en/projects/chenin-n-20-le-1er-bar-a-vin-naturel-sur-mesure-de-france,CHENIN N°20 : Le 1er bar à vin naturel sur mesure de France,Successful,101,"€11,800","Out of €11,700",01/15/2021,41,"Organic,Local Development,Change your life",jpg,7,10.0,1000.0,0,12,44,https://www.kisskissbankbank.com/en/users/meline-borde,fr,Aidez nous à ouvrir le premier bar à vin 100% sur mesure avec des produits et des vins naturels du monde entier !! 
26,26,https://www.kisskissbankbank.com/en/projects/materiel-vole,Stolen equipment,Successful,101,"€5,068","Out of €5,000",01/15/2021,78,,jpg,16,5.0,999.0,1,25,83,https://www.kisskissbankbank.com/en/users/julien-blanc,en,« Life is like a box of chocolates. You never know what you're gonna get. » Forrest Gump
