id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
136,successful,112 %,"€6,701","Out of €6,000",5/17/2020,58,music,jpg,7,5.0,1000.0,0,7,61,1
137,successful,114 %,"€4,000","Out of €3,500",5/17/2020,74,music,jpg,6,15.0,200.0,0,22,76,1
138,successful,132 %,"€13,205","Out of €10,000",5/17/2020,153,music,jpg,7,10.0,3000.0,0,21,157,1
139,successful,114 %,"€6,818","Out of €6,000",5/15/2020,160,music,gif,18,5.0,15000.0,2,22,161,1
140,successful,102 %,"€3,060","Out of €3,000",5/15/2020,57,music,jpg,5,5.0,140.0,0,12,72,1
141,successful,108 %,"€5,390","Out of €5,000",5/14/2020,60,music,jpg,6,10.0,1000.0,0,21,67,1
142,successful,116 %,"€11,580","Out of €10,000",5/14/2020,154,music,png,5,20.0,1000.0,0,32,158,1
143,successful,354 %,"€3,535","Out of €1,000",5/14/2020,92,music,png,6,2.0,100.0,0,21,99,1
144,successful,119 %,128 pre-orders,Out of 108,5/12/2020,100,music,jpg,4,25.0,100.0,9,17,108,1
145,successful,109 %,"€3,065","Out of €2,800",5/11/2020,47,music,jpg,9,10.0,400.0,7,6,50,1
146,successful,146 %,"€5,850","Out of €4,000",5/5/2020,123,music,jpg,9,5.0,850.0,0,25,140,1
147,successful,133 %,"€6,670","Out of €5,000",5/2/2020,44,music,jpeg,7,20.0,300.0,2,13,49,2
148,successful,122 %,"€3,741","Out of €3,055",5/1/2020,74,music,jpg,9,10.0,160.0,0,13,80,1
149,successful,130 %,"€3,885","Out of €3,000",4/30/2020,67,music,jpeg,9,10.0,1000.0,4,17,70,3
150,successful,100 %,"€3,015","Out of €3,000",4/29/2020,43,music,jpg,8,5.0,1000.0,0,10,45,2
151,successful,104 %,"€5,590","Out of €5,400",4/28/2020,84,music,jpg,9,15.0,1750.0,0,11,85,1
152,successful,109 %,"€4,350","Out of €4,000",4/26/2020,83,music,jpg,11,5.0,150.0,34,32,101,1
153,successful,108 %,"€7,150","Out of €6,600",12/17/2020,123,music,png,8,15.0,600.0,0,18,133,3
154,successful,152 %,"€5,328","Out of €3,500",12/17/2020,86,music,jpg,4,10.0,120.0,2,20,87,1
155,successful,100 %,"€4,005","Out of €4,000",12/16/2020,15,music,jpg,9,5.0,600.0,0,3,18,1
156,successful,120 %,"€10,803","Out of €9,000",12/16/2020,162,music,jpg,12,20.0,800.0,2,46,169,1
157,successful,115 %,"€3,215","Out of €2,800",12/15/2020,28,music,jpg,10,5.0,550.0,7,8,39,1
158,successful,105 %,"1,053 pre-orders","Out of 1,000",12/15/2020,560,music,gif,11,10.0,450.0,4,41,560,1
159,successful,255 %,"€3,822","Out of €1,500",12/12/2020,90,music,jpg,14,5.0,500.0,0,19,100,3
160,successful,102 %,"€3,055","Out of €3,000",12/12/2020,31,music,jpg,5,5.0,600.0,1,11,32,2
161,successful,107 %,"€3,200","Out of €3,000",12/12/2020,24,music,png,5,1.0,100.0,3,2,34,1
162,successful,105 %,"€3,160","Out of €3,000",4/10/2020,62,music,jpg,6,10.0,150.0,0,6,82,1
163,successful,201 %,"€4,020","Out of €2,000",4/8/2020,76,music,jpg,9,5.0,650.0,1,19,78,1
164,successful,136 %,"€8,145","Out of €6,000",4/6/2020,198,music,jpg,13,5.0,1800.0,21,41,209,1
165,successful,181 %,"€4,537","Out of €2,500",4/4/2020,65,music,jpeg,6,15.0,500.0,0,12,67,1
166,successful,103 %,"€4,613","Out of €4,500",4/3/2020,86,music,png,11,5.0,2000.0,4,22,93,2
167,successful,108 %,"€3,892","Out of €3,600",4/3/2020,158,music,png,7,5.0,100.0,0,13,163,3
168,successful,111 %,"€22,152","Out of €20,000",4/3/2020,198,music,gif,10,10.0,3000.0,0,25,210,1
169,successful,132 %,"€3,047","Out of €2,300",4/2/2020,60,music,JPG,17,10.0,300.0,0,12,60,1
170,successful,140 %,"€8,399","Out of €6,000",4/2/2020,132,music,jpg,11,10.0,2000.0,10,33,133,1
171,successful,108 %,"€7,150","Out of €6,600",12/17/2020,123,music,png,8,15.0,600.0,0,18,133,3
172,successful,152 %,"€5,328","Out of €3,500",12/17/2020,86,music,jpg,4,10.0,120.0,2,20,87,1
173,successful,100 %,"€4,005","Out of €4,000",12/16/2020,15,music,jpg,9,5.0,600.0,0,3,18,1
174,successful,120 %,"€10,803","Out of €9,000",12/16/2020,162,music,jpg,12,20.0,800.0,2,46,169,1
175,successful,115 %,"€3,215","Out of €2,800",12/15/2020,28,music,jpg,10,5.0,550.0,7,8,39,1
176,successful,105 %,"1,053 pre-orders","Out of 1,000",12/15/2020,560,music,gif,11,10.0,450.0,4,41,560,1
177,successful,255 %,"€3,822","Out of €1,500",12/12/2020,90,music,jpg,14,5.0,500.0,0,19,100,3
178,successful,102 %,"€3,055","Out of €3,000",12/12/2020,31,music,jpg,5,5.0,600.0,1,11,32,2
179,successful,107 %,"€3,200","Out of €3,000",12/12/2020,24,music,png,5,1.0,100.0,3,2,34,1
180,successful,100 %,"€5,015","Out of €5,000",3/13/2020,81,music,jpg,6,5.0,700.0,0,7,84,2
181,successful,101 %,"€3,020","Out of €3,000",3/13/2020,36,music,jpg,3,5.0,50.0,0,4,40,1
182,successful,112 %,"€3,705","Out of €3,300",3/11/2020,102,music,png,13,5.0,100.0,0,17,111,1
183,successful,181 %,"€5,443","Out of €3,000",3/10/2020,128,music,jpg,13,5.0,400.0,11,21,131,1
184,successful,109 %,"€6,515","Out of €6,000",3/10/2020,57,music,jpg,8,5.0,1450.0,13,5,63,2
185,successful,116 %,"€4,401","Out of €3,800",3/10/2020,115,music,jpg,17,5.0,1000.0,2,16,123,1
186,successful,103 %,"€7,215","Out of €7,000",3/9/2020,63,music,jpg,17,15.0,3000.0,0,8,65,2
187,successful,105 %,"€10,471","Out of €10,000",3/8/2020,148,music,png,7,10.0,600.0,4,17,150,1
188,successful,127 %,"€5,706","Out of €4,500",3/8/2020,83,music,png,11,5.0,1200.0,1,11,86,2
189,successful,105 %,"€10,471","Out of €10,000",3/8/2020,148,music,png,7,10.0,600.0,4,17,150,1
190,successful,127 %,"€5,706","Out of €4,500",3/8/2020,83,music,png,11,5.0,1200.0,1,11,86,2
191,successful,110 %,"€4,668","Out of €4,250",3/7/2020,68,music,JPG,6,20.0,1500.0,0,23,70,1
192,successful,104 %,"€3,120","Out of €3,000",3/6/2020,76,music,jpg,8,10.0,1000.0,0,9,79,1
193,successful,137 %,"€16,395","Out of €12,000",3/5/2020,205,music,jpg,7,10.0,500.0,3,29,214,1
194,successful,127 %,"€3,186","Out of €2,500",3/4/2020,95,music,jpg,9,7.0,300.0,0,15,96,1
195,successful,101 %,"€5,072","Out of €5,000",3/4/2020,133,music,jpg,8,8.0,500.0,1,19,144,1
196,successful,137 %,"€4,110","Out of €3,000",3/1/2020,103,music,jpg,7,5.0,500.0,1,21,105,1
197,successful,108 %,"€5,420","Out of €5,000",3/1/2020,65,music,jpg,10,1.0,100.0,1,10,69,1
198,successful,123 %,"€3,687","Out of €3,000",3/1/2020,65,music,JPG,7,5.0,300.0,1,8,67,1
199,successful,165 %,"€3,630","Out of €2,200",2/29/2020,103,music,jpg,8,5.0,500.0,7,21,103,1
200,successful,100 %,"€5,000","Out of €5,000",2/29/2020,3,music,jpg,7,5.0,1000.0,0,1,7,1
201,successful,111 %,"€4,095","Out of €3,674",2/27/2020,57,music,jpg,12,5.0,500.0,0,13,62,1
202,successful,117 %,"€4,689","Out of €4,000",2/27/2020,103,music,jpg,5,18.0,100.0,0,13,103,1
203,successful,153 %,"€6,113","Out of €4,000",2/26/2020,69,music,png,7,5.0,1000.0,0,13,70,1
204,successful,121 %,"€3,640","Out of €3,000",2/24/2020,75,music,jpeg,6,10.0,1000.0,1,9,75,1
205,successful,108 %,"€3,770","Out of €3,500",2/24/2020,80,music,jpg,12,5.0,10000.0,2,16,80,2
206,successful,123 %,"€4,935","Out of €4,000",2/24/2020,95,music,jpeg,3,20.0,65.0,4,21,97,1
207,successful,138 %,"€3,045","Out of €2,200",2/23/2020,37,music,png,15,5.0,400.0,3,4,37,1
208,successful,100 %,"€3,335","Out of €3,335",2/21/2020,38,music,png,8,5.0,1000.0,0,7,42,1
209,successful,126 %,"€7,569","Out of €6,000",2/21/2020,182,music,jpg,7,10.0,500.0,0,28,185,1
210,successful,113 %,"€3,048","Out of €2,700",2/20/2020,65,music,jpg,7,10.0,500.0,2,4,66,1
211,successful,111 %,"€4,440","Out of €4,000",2/17/2020,88,music,png,8,10.0,500.0,0,8,93,5
212,successful,113 %,"€4,520","Out of €4,000",2/16/2020,86,music,jpg,13,5.0,1000.0,3,23,88,1
213,successful,103 %,"€3,618","Out of €3,500",2/10/2020,37,music,png,6,3.0,500.0,0,4,40,1
214,successful,100 %,"€3,000","Out of €3,000",2/7/2020,20,music,png,12,5.0,1000.0,0,5,26,1
215,successful,106 %,"€3,190","Out of €3,000",2/4/2020,45,music,jpg,6,20.0,900.0,1,18,58,1
