,pro_link,price,num_backers,has_media
0,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,5.0,19,True
1,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,15.0,15,True
2,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,30.0,10,True
3,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,45.0,179,True
4,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,60.0,26,True
5,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,74.0,5,True
6,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,75.0,4,True
7,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,90.0,8,True
8,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,100.0,18,True
9,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,100.0,19,True
10,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,200.0,4,True
11,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,500.0,3,True
12,https://www.kisskissbankbank.com/en/projects/secouriste-le-jeu-de-societe-ludo-educatif-sur-les-gestes-qui-sauvent,1000.0,1,True
13,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,10.0,17,False
14,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,20.0,20,False
15,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,35.0,17,False
16,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,60.0,6,False
17,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,80.0,2,False
18,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,100.0,12,False
19,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,250.0,0,False
20,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,500.0,1,False
21,https://www.kisskissbankbank.com/en/projects/laura-clauzel-soutenez-la-sortie-de-mon-2e-ep,1000.0,0,False
22,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,5.0,0,True
23,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,10.0,1,True
24,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,15.0,1,True
25,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,15.0,2,True
26,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,20.0,1,True
27,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,20.0,0,True
28,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,20.0,1,True
29,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,22.0,2,True
30,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,25.0,0,True
31,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,35.0,0,True
32,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,35.0,0,True
33,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,35.0,2,True
34,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,40.0,1,True
35,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,40.0,0,True
36,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,45.0,0,True
37,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,45.0,0,True
38,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,50.0,0,True
39,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,60.0,2,False
40,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,90.0,0,True
41,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,90.0,0,True
42,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,100.0,2,False
43,https://www.kisskissbankbank.com/en/projects/gaby-ceramique-collecte-pour-equiper-mon-atelier,200.0,2,False
44,https://www.kisskissbankbank.com/en/projects/buste-janpieter-biesemans,5.0,6,False
45,https://www.kisskissbankbank.com/en/projects/buste-janpieter-biesemans,25.0,26,True
46,https://www.kisskissbankbank.com/en/projects/buste-janpieter-biesemans,50.0,26,True
47,https://www.kisskissbankbank.com/en/projects/buste-janpieter-biesemans,75.0,3,True
48,https://www.kisskissbankbank.com/en/projects/buste-janpieter-biesemans,100.0,10,True
49,https://www.kisskissbankbank.com/en/projects/buste-janpieter-biesemans,200.0,3,True
