,pro_link,price,num_backers,has_media
0,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,39.0,251,True
1,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,24.0,484,True
2,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,28.0,13,True
3,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,39.0,88,True
4,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,39.0,81,True
5,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,53.0,15,True
6,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,53.0,3,True
7,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,55.0,49,True
8,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,68.0,68,True
9,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,83.0,2,True
10,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,96.0,17,True
11,https://www.kisskissbankbank.com/en/projects/zigzag-paris-le-jeu,26.0,112,True
12,https://www.kisskissbankbank.com/en/projects/easyendo,30.0,37,True
13,https://www.kisskissbankbank.com/en/projects/easyendo,1.0,9,True
14,https://www.kisskissbankbank.com/en/projects/easyendo,5.0,12,True
15,https://www.kisskissbankbank.com/en/projects/easyendo,10.0,24,True
16,https://www.kisskissbankbank.com/en/projects/easyendo,30.0,19,True
17,https://www.kisskissbankbank.com/en/projects/easyendo,50.0,24,True
18,https://www.kisskissbankbank.com/en/projects/easyendo,70.0,3,True
19,https://www.kisskissbankbank.com/en/projects/easyendo,100.0,14,True
20,https://www.kisskissbankbank.com/en/projects/easyendo,200.0,4,True
21,https://www.kisskissbankbank.com/en/projects/easyendo,300.0,3,True
22,https://www.kisskissbankbank.com/en/projects/easyendo,2000.0,0,True
23,https://www.kisskissbankbank.com/en/projects/easyendo,5000.0,0,True
24,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,10.0,19,False
25,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,25.0,19,True
26,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,50.0,18,True
27,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,75.0,1,True
28,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,100.0,1,False
29,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,125.0,5,False
30,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,250.0,0,False
31,https://www.kisskissbankbank.com/en/projects/half-pipe-ep,1000.0,0,True
32,https://www.kisskissbankbank.com/en/projects/greenstub-le-cofftea-shop-zero-dechet-alsacien,20.0,9,True
